=> Trial Start: ['dir_sim', 'recency', 'betweenness']
=> Epoch 031 | Train: 0.8295 (Easy: 0.4625, Hard: 1.2028) | Val: 0.7329 (Easy: 0.4081, Hard: 1.1415) | LR: 0.001000
=> Epoch 032 | Train: 0.8390 (Easy: 0.4695, Hard: 1.2140) | Val: 0.7227 (Easy: 0.4077, Hard: 1.1178) | LR: 0.001000
=> Epoch 033 | Train: 0.8235 (Easy: 0.4652, Hard: 1.1871) | Val: 0.7142 (Easy: 0.4083, Hard: 1.0975) | LR: 0.001000
=> Epoch 034 | Train: 0.8219 (Easy: 0.4647, Hard: 1.1802) | Val: 0.7157 (Easy: 0.4036, Hard: 1.1081) | LR: 0.001000
=> Epoch 035 | Train: 0.8239 (Easy: 0.4706, Hard: 1.1854) | Val: 0.7183 (Easy: 0.4130, Hard: 1.1023) | LR: 0.001000
=> Epoch 036 | Train: 0.8280 (Easy: 0.4744, Hard: 1.1821) | Val: 0.7070 (Easy: 0.4181, Hard: 1.0697) | LR: 0.001000
=> Epoch 037 | Train: 0.8215 (Easy: 0.4628, Hard: 1.1786) | Val: 0.7091 (Easy: 0.4064, Hard: 1.0892) | LR: 0.001000
=> Epoch 038 | Train: 0.8166 (Easy: 0.4679, Hard: 1.1778) | Val: 0.7051 (Easy: 0.4065, Hard: 1.0828) | LR: 0.001000
=> Epoch 039 | Train: 0.8184 (Easy: 0.4649, Hard: 1.1780) | Val: 0.7039 (Easy: 0.4112, Hard: 1.0742) | LR: 0.001000
=> Epoch 040 | Train: 0.8128 (Easy: 0.4685, Hard: 1.1546) | Val: 0.7009 (Easy: 0.4040, Hard: 1.0734) | LR: 0.001000
=> Epoch 041 | Train: 0.8052 (Easy: 0.4573, Hard: 1.1564) | Val: 0.6988 (Easy: 0.4080, Hard: 1.0646) | LR: 0.001000
=> Epoch 042 | Train: 0.8021 (Easy: 0.4636, Hard: 1.1428) | Val: 0.7028 (Easy: 0.4041, Hard: 1.0830) | LR: 0.001000
=> Epoch 043 | Train: 0.8150 (Easy: 0.4655, Hard: 1.1667) | Val: 0.6999 (Easy: 0.4041, Hard: 1.0718) | LR: 0.001000
=> Epoch 044 | Train: 0.7988 (Easy: 0.4688, Hard: 1.1276) | Val: 0.6927 (Easy: 0.3984, Hard: 1.0655) | LR: 0.001000
=> Epoch 045 | Train: 0.7939 (Easy: 0.4602, Hard: 1.1272) | Val: 0.6991 (Easy: 0.4067, Hard: 1.0688) | LR: 0.001000
=> Epoch 046 | Train: 0.7904 (Easy: 0.4576, Hard: 1.1169) | Val: 0.7037 (Easy: 0.4030, Hard: 1.0846) | LR: 0.001000
=> Epoch 047 | Train: 0.7930 (Easy: 0.4551, Hard: 1.1270) | Val: 0.6997 (Easy: 0.4007, Hard: 1.0782) | LR: 0.001000
=> Epoch 048 | Train: 0.8052 (Easy: 0.4700, Hard: 1.1427) | Val: 0.6985 (Easy: 0.4055, Hard: 1.0718) | LR: 0.001000
=> Epoch 049 | Train: 0.7879 (Easy: 0.4681, Hard: 1.1063) | Val: 0.6939 (Easy: 0.4016, Hard: 1.0622) | LR: 0.001000
=> Epoch 050 | Train: 0.7994 (Easy: 0.4692, Hard: 1.1298) | Val: 0.6892 (Easy: 0.3939, Hard: 1.0599) | LR: 0.001000
=> Epoch 051 | Train: 0.7834 (Easy: 0.4593, Hard: 1.1082) | Val: 0.6837 (Easy: 0.3927, Hard: 1.0489) | LR: 0.001000
=> Epoch 052 | Train: 0.7941 (Easy: 0.4541, Hard: 1.1356) | Val: 0.6910 (Easy: 0.3943, Hard: 1.0658) | LR: 0.001000
=> Epoch 053 | Train: 0.7895 (Easy: 0.4543, Hard: 1.1244) | Val: 0.6857 (Easy: 0.3978, Hard: 1.0461) | LR: 0.001000
=> Epoch 054 | Train: 0.7912 (Easy: 0.4581, Hard: 1.1312) | Val: 0.6859 (Easy: 0.3947, Hard: 1.0529) | LR: 0.001000
=> Epoch 055 | Train: 0.7827 (Easy: 0.4487, Hard: 1.1162) | Val: 0.6818 (Easy: 0.3975, Hard: 1.0380) | LR: 0.001000
=> Epoch 056 | Train: 0.7710 (Easy: 0.4518, Hard: 1.0835) | Val: 0.6890 (Easy: 0.3925, Hard: 1.0628) | LR: 0.001000
=> Epoch 057 | Train: 0.7922 (Easy: 0.4594, Hard: 1.1310) | Val: 0.6855 (Easy: 0.3880, Hard: 1.0599) | LR: 0.001000
