=> Trial Start: ['dir_sim', 'recency', 'has_target']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target']
=> Epoch 068 | Train: 0.7680 (Easy: 0.4855, Hard: 1.0387) | Val: 0.6740 (Easy: 0.4157, Hard: 0.9516) | LR: 0.000500
=> Epoch 069 | Train: 0.7804 (Easy: 0.4909, Hard: 1.0599) | Val: 0.6748 (Easy: 0.4159, Hard: 0.9480) | LR: 0.000500
=> Epoch 070 | Train: 0.7731 (Easy: 0.4849, Hard: 1.0557) | Val: 0.6777 (Easy: 0.4154, Hard: 0.9558) | LR: 0.000500
=> Epoch 071 | Train: 0.7721 (Easy: 0.4908, Hard: 1.0481) | Val: 0.6706 (Easy: 0.4117, Hard: 0.9474) | LR: 0.000500
=> Epoch 072 | Train: 0.7833 (Easy: 0.4965, Hard: 1.0589) | Val: 0.6720 (Easy: 0.4149, Hard: 0.9465) | LR: 0.000500
=> Epoch 073 | Train: 0.7681 (Easy: 0.4947, Hard: 1.0315) | Val: 0.6746 (Easy: 0.4134, Hard: 0.9542) | LR: 0.000500
=> Epoch 074 | Train: 0.7704 (Easy: 0.4864, Hard: 1.0461) | Val: 0.6693 (Easy: 0.4124, Hard: 0.9408) | LR: 0.000500
=> Epoch 075 | Train: 0.7740 (Easy: 0.4881, Hard: 1.0475) | Val: 0.6747 (Easy: 0.4165, Hard: 0.9455) | LR: 0.000500
=> Epoch 076 | Train: 0.7670 (Easy: 0.4871, Hard: 1.0389) | Val: 0.6693 (Easy: 0.4162, Hard: 0.9400) | LR: 0.000500
=> Epoch 077 | Train: 0.7725 (Easy: 0.4961, Hard: 1.0416) | Val: 0.6762 (Easy: 0.4169, Hard: 0.9494) | LR: 0.000500
=> Epoch 078 | Train: 0.7651 (Easy: 0.4746, Hard: 1.0510) | Val: 0.6722 (Easy: 0.4162, Hard: 0.9408) | LR: 0.000500
=> Epoch 079 | Train: 0.7782 (Easy: 0.4922, Hard: 1.0461) | Val: 0.6717 (Easy: 0.4160, Hard: 0.9403) | LR: 0.000500
=> Epoch 080 | Train: 0.7525 (Easy: 0.4745, Hard: 1.0252) | Val: 0.6667 (Easy: 0.4143, Hard: 0.9354) | LR: 0.000500
=> Epoch 081 | Train: 0.7644 (Easy: 0.4790, Hard: 1.0314) | Val: 0.6684 (Easy: 0.4158, Hard: 0.9354) | LR: 0.000500
=> Epoch 082 | Train: 0.7645 (Easy: 0.4956, Hard: 1.0174) | Val: 0.6755 (Easy: 0.4144, Hard: 0.9596) | LR: 0.000500
=> Epoch 083 | Train: 0.7736 (Easy: 0.4935, Hard: 1.0439) | Val: 0.6716 (Easy: 0.4185, Hard: 0.9399) | LR: 0.000500
=> Epoch 084 | Train: 0.7718 (Easy: 0.4865, Hard: 1.0426) | Val: 0.6703 (Easy: 0.4134, Hard: 0.9456) | LR: 0.000500
=> Epoch 085 | Train: 0.7708 (Easy: 0.5010, Hard: 1.0273) | Val: 0.6752 (Easy: 0.4139, Hard: 0.9480) | LR: 0.000500
=> Epoch 086 | Train: 0.7660 (Easy: 0.4772, Hard: 1.0419) | Val: 0.6737 (Easy: 0.4134, Hard: 0.9493) | LR: 0.000500
