=> Trial Start: ['dir_sim', 'recency', 'is_outside']

=> Split: 0 | Features: ['dir_sim', 'recency', 'is_outside']
=> Epoch 077 | Train: 0.7706 (Easy: 0.4541, Hard: 1.0848) | Val: 0.7056 (Easy: 0.4338, Hard: 0.9831) | LR: 0.000500
=> Epoch 078 | Train: 0.7631 (Easy: 0.4554, Hard: 1.0684) | Val: 0.7059 (Easy: 0.4335, Hard: 0.9833) | LR: 0.000500
=> Epoch 079 | Train: 0.7770 (Easy: 0.4630, Hard: 1.0871) | Val: 0.7075 (Easy: 0.4356, Hard: 0.9850) | LR: 0.000500
=> Epoch 080 | Train: 0.7608 (Easy: 0.4653, Hard: 1.0515) | Val: 0.7069 (Easy: 0.4341, Hard: 0.9880) | LR: 0.000500
=> Epoch 081 | Train: 0.7653 (Easy: 0.4669, Hard: 1.0559) | Val: 0.7103 (Easy: 0.4345, Hard: 0.9888) | LR: 0.000500
=> Epoch 082 | Train: 0.7720 (Easy: 0.4554, Hard: 1.0811) | Val: 0.7081 (Easy: 0.4352, Hard: 0.9855) | LR: 0.000500
=> Epoch 083 | Train: 0.7669 (Easy: 0.4646, Hard: 1.0619) | Val: 0.7070 (Easy: 0.4360, Hard: 0.9831) | LR: 0.000500
=> Epoch 084 | Train: 0.7660 (Easy: 0.4589, Hard: 1.0603) | Val: 0.7074 (Easy: 0.4358, Hard: 0.9818) | LR: 0.000500
=> Epoch 085 | Train: 0.7503 (Easy: 0.4579, Hard: 1.0373) | Val: 0.7084 (Easy: 0.4356, Hard: 0.9842) | LR: 0.000500
=> Epoch 086 | Train: 0.7751 (Easy: 0.4625, Hard: 1.0851) | Val: 0.7065 (Easy: 0.4376, Hard: 0.9795) | LR: 0.000500
=> Epoch 087 | Train: 0.7678 (Easy: 0.4587, Hard: 1.0686) | Val: 0.7085 (Easy: 0.4337, Hard: 0.9892) | LR: 0.000500
=> LR reduced: 0.000500 -> 0.000250
=> Epoch 088 | Train: 0.7650 (Easy: 0.4556, Hard: 1.0679) | Val: 0.7025 (Easy: 0.4365, Hard: 0.9740) | LR: 0.000250
=> Epoch 089 | Train: 0.7621 (Easy: 0.4560, Hard: 1.0628) | Val: 0.7026 (Easy: 0.4356, Hard: 0.9744) | LR: 0.000250
=> Epoch 090 | Train: 0.7619 (Easy: 0.4627, Hard: 1.0537) | Val: 0.7024 (Easy: 0.4328, Hard: 0.9766) | LR: 0.000250
=> Epoch 091 | Train: 0.7541 (Easy: 0.4537, Hard: 1.0550) | Val: 0.7011 (Easy: 0.4335, Hard: 0.9732) | LR: 0.000250
=> Epoch 092 | Train: 0.7590 (Easy: 0.4495, Hard: 1.0624) | Val: 0.7013 (Easy: 0.4338, Hard: 0.9732) | LR: 0.000250
=> Epoch 093 | Train: 0.7501 (Easy: 0.4530, Hard: 1.0454) | Val: 0.6997 (Easy: 0.4355, Hard: 0.9691) | LR: 0.000250
=> Epoch 094 | Train: 0.7549 (Easy: 0.4560, Hard: 1.0487) | Val: 0.7019 (Easy: 0.4344, Hard: 0.9747) | LR: 0.000250
=> Epoch 095 | Train: 0.7595 (Easy: 0.4552, Hard: 1.0648) | Val: 0.7004 (Easy: 0.4355, Hard: 0.9708) | LR: 0.000250
=> Epoch 096 | Train: 0.7619 (Easy: 0.4551, Hard: 1.0666) | Val: 0.7010 (Easy: 0.4371, Hard: 0.9710) | LR: 0.000250
=> Epoch 097 | Train: 0.7603 (Easy: 0.4546, Hard: 1.0587) | Val: 0.7014 (Easy: 0.4378, Hard: 0.9709) | LR: 0.000250
=> Epoch 098 | Train: 0.7522 (Easy: 0.4519, Hard: 1.0487) | Val: 0.6992 (Easy: 0.4354, Hard: 0.9702) | LR: 0.000250
=> Epoch 099 | Train: 0.7500 (Easy: 0.4469, Hard: 1.0482) | Val: 0.6997 (Easy: 0.4360, Hard: 0.9702) | LR: 0.000250
=> Epoch 100 | Train: 0.7487 (Easy: 0.4487, Hard: 1.0463) | Val: 0.6982 (Easy: 0.4351, Hard: 0.9679) | LR: 0.000250
=> Epoch 101 | Train: 0.7563 (Easy: 0.4563, Hard: 1.0551) | Val: 0.7001 (Easy: 0.4366, Hard: 0.9697) | LR: 0.000250
