=> Trial Start: ['dir_sim', 'recency', 'is_hallway']

=> Split: 0 | Features: ['dir_sim', 'recency', 'is_hallway']
=> Epoch 087 | Train: 0.7693 (Easy: 0.4520, Hard: 1.0785) | Val: 0.6816 (Easy: 0.4317, Hard: 0.9364) | LR: 0.000500
=> Epoch 088 | Train: 0.7682 (Easy: 0.4510, Hard: 1.0856) | Val: 0.6792 (Easy: 0.4317, Hard: 0.9354) | LR: 0.000500
=> Epoch 089 | Train: 0.7735 (Easy: 0.4547, Hard: 1.0861) | Val: 0.6808 (Easy: 0.4326, Hard: 0.9380) | LR: 0.000500
=> Epoch 090 | Train: 0.7663 (Easy: 0.4462, Hard: 1.0731) | Val: 0.6810 (Easy: 0.4320, Hard: 0.9333) | LR: 0.000500
=> Epoch 091 | Train: 0.7703 (Easy: 0.4487, Hard: 1.0908) | Val: 0.6799 (Easy: 0.4308, Hard: 0.9329) | LR: 0.000500
=> Epoch 092 | Train: 0.7724 (Easy: 0.4472, Hard: 1.0873) | Val: 0.6797 (Easy: 0.4319, Hard: 0.9358) | LR: 0.000500
=> Epoch 093 | Train: 0.7784 (Easy: 0.4517, Hard: 1.0997) | Val: 0.6786 (Easy: 0.4294, Hard: 0.9341) | LR: 0.000500
=> Epoch 094 | Train: 0.7669 (Easy: 0.4427, Hard: 1.0898) | Val: 0.6809 (Easy: 0.4317, Hard: 0.9369) | LR: 0.000500
=> Epoch 095 | Train: 0.7701 (Easy: 0.4545, Hard: 1.0778) | Val: 0.6800 (Easy: 0.4305, Hard: 0.9357) | LR: 0.000500
=> Epoch 096 | Train: 0.7696 (Easy: 0.4436, Hard: 1.0870) | Val: 0.6797 (Easy: 0.4333, Hard: 0.9358) | LR: 0.000500
=> Epoch 097 | Train: 0.7676 (Easy: 0.4484, Hard: 1.0752) | Val: 0.6783 (Easy: 0.4357, Hard: 0.9299) | LR: 0.000500
=> Epoch 098 | Train: 0.7603 (Easy: 0.4497, Hard: 1.0659) | Val: 0.6787 (Easy: 0.4308, Hard: 0.9328) | LR: 0.000500
=> Epoch 099 | Train: 0.7627 (Easy: 0.4499, Hard: 1.0677) | Val: 0.6798 (Easy: 0.4332, Hard: 0.9346) | LR: 0.000500
=> Epoch 100 | Train: 0.7723 (Easy: 0.4496, Hard: 1.0806) | Val: 0.6813 (Easy: 0.4365, Hard: 0.9362) | LR: 0.000500
=> Epoch 101 | Train: 0.7772 (Easy: 0.4491, Hard: 1.0994) | Val: 0.6796 (Easy: 0.4337, Hard: 0.9357) | LR: 0.000500
=> Epoch 102 | Train: 0.7589 (Easy: 0.4451, Hard: 1.0672) | Val: 0.6764 (Easy: 0.4290, Hard: 0.9336) | LR: 0.000500
=> Epoch 103 | Train: 0.7719 (Easy: 0.4455, Hard: 1.0911) | Val: 0.6766 (Easy: 0.4323, Hard: 0.9303) | LR: 0.000500
=> Epoch 104 | Train: 0.7738 (Easy: 0.4497, Hard: 1.0882) | Val: 0.6760 (Easy: 0.4282, Hard: 0.9271) | LR: 0.000500
=> Epoch 105 | Train: 0.7534 (Easy: 0.4441, Hard: 1.0495) | Val: 0.6759 (Easy: 0.4289, Hard: 0.9283) | LR: 0.000500
=> Epoch 106 | Train: 0.7733 (Easy: 0.4412, Hard: 1.0987) | Val: 0.6808 (Easy: 0.4323, Hard: 0.9361) | LR: 0.000500
=> Epoch 107 | Train: 0.7642 (Easy: 0.4458, Hard: 1.0762) | Val: 0.6770 (Easy: 0.4259, Hard: 0.9302) | LR: 0.000500
=> Epoch 108 | Train: 0.7726 (Easy: 0.4496, Hard: 1.0881) | Val: 0.6791 (Easy: 0.4349, Hard: 0.9304) | LR: 0.000500
=> Epoch 109 | Train: 0.7637 (Easy: 0.4385, Hard: 1.0849) | Val: 0.6778 (Easy: 0.4288, Hard: 0.9260) | LR: 0.000500
=> Epoch 110 | Train: 0.7759 (Easy: 0.4430, Hard: 1.0975) | Val: 0.6749 (Easy: 0.4325, Hard: 0.9258) | LR: 0.000500
=> Epoch 111 | Train: 0.7609 (Easy: 0.4377, Hard: 1.0774) | Val: 0.6746 (Easy: 0.4256, Hard: 0.9280) | LR: 0.000500
=> Epoch 112 | Train: 0.7671 (Easy: 0.4506, Hard: 1.0794) | Val: 0.6769 (Easy: 0.4310, Hard: 0.9346) | LR: 0.000500
=> Epoch 113 | Train: 0.7654 (Easy: 0.4419, Hard: 1.0773) | Val: 0.6760 (Easy: 0.4317, Hard: 0.9257) | LR: 0.000500
=> Epoch 114 | Train: 0.7644 (Easy: 0.4392, Hard: 1.0813) | Val: 0.6747 (Easy: 0.4328, Hard: 0.9230) | LR: 0.000500
=> Epoch 115 | Train: 0.7553 (Easy: 0.4412, Hard: 1.0578) | Val: 0.6729 (Easy: 0.4261, Hard: 0.9247) | LR: 0.000500
=> Epoch 116 | Train: 0.7520 (Easy: 0.4418, Hard: 1.0568) | Val: 0.6735 (Easy: 0.4331, Hard: 0.9201) | LR: 0.000500
=> Epoch 117 | Train: 0.7595 (Easy: 0.4413, Hard: 1.0740) | Val: 0.6722 (Easy: 0.4325, Hard: 0.9164) | LR: 0.000500
=> Epoch 118 | Train: 0.7577 (Easy: 0.4389, Hard: 1.0697) | Val: 0.6701 (Easy: 0.4316, Hard: 0.9155) | LR: 0.000500
=> Epoch 119 | Train: 0.7514 (Easy: 0.4445, Hard: 1.0528) | Val: 0.6732 (Easy: 0.4297, Hard: 0.9225) | LR: 0.000500
=> Epoch 120 | Train: 0.7631 (Easy: 0.4336, Hard: 1.0837) | Val: 0.6766 (Easy: 0.4395, Hard: 0.9234) | LR: 0.000500
=> Epoch 121 | Train: 0.7623 (Easy: 0.4443, Hard: 1.0714) | Val: 0.6737 (Easy: 0.4297, Hard: 0.9239) | LR: 0.000500
=> Epoch 122 | Train: 0.7612 (Easy: 0.4463, Hard: 1.0651) | Val: 0.6740 (Easy: 0.4309, Hard: 0.9221) | LR: 0.000500
