=> Trial Start: ['dir_sim', 'recency', 'exit_dist']

=> Split: 0 | Features: ['dir_sim', 'recency', 'exit_dist']
=> Epoch 082 | Train: 0.7609 (Easy: 0.4419, Hard: 1.0763) | Val: 0.6731 (Easy: 0.4249, Hard: 0.9465) | LR: 0.000500
=> Epoch 083 | Train: 0.7591 (Easy: 0.4395, Hard: 1.0727) | Val: 0.6687 (Easy: 0.4238, Hard: 0.9382) | LR: 0.000500
=> Epoch 084 | Train: 0.7575 (Easy: 0.4502, Hard: 1.0597) | Val: 0.6707 (Easy: 0.4247, Hard: 0.9405) | LR: 0.000500
=> Epoch 085 | Train: 0.7468 (Easy: 0.4507, Hard: 1.0405) | Val: 0.6675 (Easy: 0.4233, Hard: 0.9374) | LR: 0.000500
=> Epoch 086 | Train: 0.7637 (Easy: 0.4409, Hard: 1.0850) | Val: 0.6722 (Easy: 0.4251, Hard: 0.9463) | LR: 0.000500
=> Epoch 087 | Train: 0.7612 (Easy: 0.4464, Hard: 1.0726) | Val: 0.6710 (Easy: 0.4270, Hard: 0.9399) | LR: 0.000500
=> Epoch 088 | Train: 0.7413 (Easy: 0.4412, Hard: 1.0438) | Val: 0.6697 (Easy: 0.4243, Hard: 0.9404) | LR: 0.000500
=> Epoch 089 | Train: 0.7537 (Easy: 0.4473, Hard: 1.0526) | Val: 0.6677 (Easy: 0.4205, Hard: 0.9391) | LR: 0.000500
=> LR reduced: 0.000500 -> 0.000250
=> Epoch 090 | Train: 0.7611 (Easy: 0.4432, Hard: 1.0722) | Val: 0.6623 (Easy: 0.4094, Hard: 0.9411) | LR: 0.000250
=> Epoch 091 | Train: 0.7536 (Easy: 0.4403, Hard: 1.0670) | Val: 0.6592 (Easy: 0.4099, Hard: 0.9353) | LR: 0.000250
=> Epoch 092 | Train: 0.7510 (Easy: 0.4363, Hard: 1.0656) | Val: 0.6605 (Easy: 0.4073, Hard: 0.9392) | LR: 0.000250
=> Epoch 093 | Train: 0.7399 (Easy: 0.4352, Hard: 1.0400) | Val: 0.6583 (Easy: 0.4103, Hard: 0.9318) | LR: 0.000250
=> Epoch 094 | Train: 0.7448 (Easy: 0.4392, Hard: 1.0463) | Val: 0.6580 (Easy: 0.4098, Hard: 0.9310) | LR: 0.000250
=> Epoch 095 | Train: 0.7597 (Easy: 0.4376, Hard: 1.0808) | Val: 0.6565 (Easy: 0.4074, Hard: 0.9317) | LR: 0.000250
=> Epoch 096 | Train: 0.7634 (Easy: 0.4465, Hard: 1.0777) | Val: 0.6584 (Easy: 0.4089, Hard: 0.9335) | LR: 0.000250
=> Epoch 097 | Train: 0.7504 (Easy: 0.4284, Hard: 1.0685) | Val: 0.6597 (Easy: 0.4091, Hard: 0.9365) | LR: 0.000250
=> Epoch 098 | Train: 0.7442 (Easy: 0.4422, Hard: 1.0489) | Val: 0.6559 (Easy: 0.4071, Hard: 0.9322) | LR: 0.000250
=> Epoch 099 | Train: 0.7440 (Easy: 0.4429, Hard: 1.0458) | Val: 0.6593 (Easy: 0.4091, Hard: 0.9360) | LR: 0.000250
=> Epoch 100 | Train: 0.7576 (Easy: 0.4462, Hard: 1.0695) | Val: 0.6546 (Easy: 0.4078, Hard: 0.9289) | LR: 0.000250
=> Epoch 101 | Train: 0.7545 (Easy: 0.4476, Hard: 1.0581) | Val: 0.6541 (Easy: 0.4100, Hard: 0.9268) | LR: 0.000250
=> Epoch 102 | Train: 0.7441 (Easy: 0.4415, Hard: 1.0422) | Val: 0.6588 (Easy: 0.4116, Hard: 0.9311) | LR: 0.000250
=> Epoch 103 | Train: 0.7466 (Easy: 0.4336, Hard: 1.0535) | Val: 0.6549 (Easy: 0.4081, Hard: 0.9298) | LR: 0.000250
=> Epoch 104 | Train: 0.7462 (Easy: 0.4375, Hard: 1.0499) | Val: 0.6540 (Easy: 0.4080, Hard: 0.9275) | LR: 0.000250
=> Epoch 105 | Train: 0.7348 (Easy: 0.4319, Hard: 1.0337) | Val: 0.6549 (Easy: 0.4088, Hard: 0.9285) | LR: 0.000250
=> Epoch 106 | Train: 0.7496 (Easy: 0.4439, Hard: 1.0468) | Val: 0.6577 (Easy: 0.4072, Hard: 0.9354) | LR: 0.000250
=> Epoch 107 | Train: 0.7409 (Easy: 0.4405, Hard: 1.0382) | Val: 0.6553 (Easy: 0.4064, Hard: 0.9312) | LR: 0.000250
=> Epoch 108 | Train: 0.7510 (Easy: 0.4397, Hard: 1.0561) | Val: 0.6521 (Easy: 0.4066, Hard: 0.9252) | LR: 0.000250
=> Epoch 109 | Train: 0.7504 (Easy: 0.4379, Hard: 1.0598) | Val: 0.6550 (Easy: 0.4082, Hard: 0.9291) | LR: 0.000250
=> Epoch 110 | Train: 0.7447 (Easy: 0.4410, Hard: 1.0335) | Val: 0.6572 (Easy: 0.4078, Hard: 0.9328) | LR: 0.000250
=> Epoch 111 | Train: 0.7468 (Easy: 0.4340, Hard: 1.0515) | Val: 0.6531 (Easy: 0.4045, Hard: 0.9297) | LR: 0.000250
=> Epoch 112 | Train: 0.7466 (Easy: 0.4388, Hard: 1.0500) | Val: 0.6559 (Easy: 0.4070, Hard: 0.9309) | LR: 0.000250
=> Epoch 113 | Train: 0.7535 (Easy: 0.4418, Hard: 1.0601) | Val: 0.6525 (Easy: 0.4064, Hard: 0.9263) | LR: 0.000250
=> Epoch 114 | Train: 0.7420 (Easy: 0.4360, Hard: 1.0467) | Val: 0.6546 (Easy: 0.4083, Hard: 0.9274) | LR: 0.000250
=> Epoch 115 | Train: 0.7429 (Easy: 0.4319, Hard: 1.0460) | Val: 0.6549 (Easy: 0.4082, Hard: 0.9276) | LR: 0.000250
=> Epoch 116 | Train: 0.7435 (Easy: 0.4425, Hard: 1.0390) | Val: 0.6541 (Easy: 0.4094, Hard: 0.9258) | LR: 0.000250
=> Epoch 117 | Train: 0.7459 (Easy: 0.4413, Hard: 1.0479) | Val: 0.6540 (Easy: 0.4105, Hard: 0.9253) | LR: 0.000250
=> Epoch 118 | Train: 0.7429 (Easy: 0.4332, Hard: 1.0491) | Val: 0.6562 (Easy: 0.4075, Hard: 0.9297) | LR: 0.000250
=> LR reduced: 0.000250 -> 0.000125
=> Epoch 119 | Train: 0.7398 (Easy: 0.4391, Hard: 1.0430) | Val: 0.6513 (Easy: 0.4086, Hard: 0.9220) | LR: 0.000125
=> Epoch 120 | Train: 0.7399 (Easy: 0.4384, Hard: 1.0443) | Val: 0.6518 (Easy: 0.4077, Hard: 0.9236) | LR: 0.000125
=> Epoch 121 | Train: 0.7453 (Easy: 0.4355, Hard: 1.0560) | Val: 0.6528 (Easy: 0.4107, Hard: 0.9234) | LR: 0.000125
=> Epoch 122 | Train: 0.7316 (Easy: 0.4393, Hard: 1.0211) | Val: 0.6521 (Easy: 0.4065, Hard: 0.9257) | LR: 0.000125
=> Epoch 123 | Train: 0.7489 (Easy: 0.4430, Hard: 1.0544) | Val: 0.6523 (Easy: 0.4073, Hard: 0.9248) | LR: 0.000125
=> Epoch 124 | Train: 0.7488 (Easy: 0.4421, Hard: 1.0552) | Val: 0.6517 (Easy: 0.4062, Hard: 0.9250) | LR: 0.000125
=> Epoch 125 | Train: 0.7393 (Easy: 0.4308, Hard: 1.0413) | Val: 0.6503 (Easy: 0.4079, Hard: 0.9197) | LR: 0.000125
=> Epoch 126 | Train: 0.7315 (Easy: 0.4293, Hard: 1.0351) | Val: 0.6519 (Easy: 0.4063, Hard: 0.9234) | LR: 0.000125
=> Epoch 127 | Train: 0.7353 (Easy: 0.4325, Hard: 1.0286) | Val: 0.6526 (Easy: 0.4066, Hard: 0.9253) | LR: 0.000125
=> Epoch 128 | Train: 0.7456 (Easy: 0.4334, Hard: 1.0603) | Val: 0.6506 (Easy: 0.4057, Hard: 0.9231) | LR: 0.000125
=> Epoch 129 | Train: 0.7454 (Easy: 0.4404, Hard: 1.0454) | Val: 0.6499 (Easy: 0.4080, Hard: 0.9188) | LR: 0.000125
=> Epoch 130 | Train: 0.7239 (Easy: 0.4224, Hard: 1.0257) | Val: 0.6490 (Easy: 0.4060, Hard: 0.9193) | LR: 0.000125
=> Epoch 131 | Train: 0.7362 (Easy: 0.4323, Hard: 1.0406) | Val: 0.6498 (Easy: 0.4075, Hard: 0.9188) | LR: 0.000125
=> Epoch 132 | Train: 0.7320 (Easy: 0.4363, Hard: 1.0240) | Val: 0.6499 (Easy: 0.4061, Hard: 0.9204) | LR: 0.000125
=> Epoch 133 | Train: 0.7509 (Easy: 0.4327, Hard: 1.0620) | Val: 0.6498 (Easy: 0.4064, Hard: 0.9201) | LR: 0.000125
=> Epoch 134 | Train: 0.7280 (Easy: 0.4334, Hard: 1.0153) | Val: 0.6504 (Easy: 0.4062, Hard: 0.9208) | LR: 0.000125
=> Epoch 135 | Train: 0.7270 (Easy: 0.4254, Hard: 1.0239) | Val: 0.6482 (Easy: 0.4058, Hard: 0.9179) | LR: 0.000125
=> Epoch 136 | Train: 0.7342 (Easy: 0.4348, Hard: 1.0263) | Val: 0.6498 (Easy: 0.4053, Hard: 0.9213) | LR: 0.000125
