=> Trial Start: ['dir_sim', 'recency', 'is_entrance']

=> Split: 0 | Features: ['dir_sim', 'recency', 'is_entrance']
=> Epoch 054 | Train: 0.7738 (Easy: 0.4550, Hard: 1.0991) | Val: 0.7020 (Easy: 0.4271, Hard: 0.9872) | LR: 0.001000
=> Epoch 055 | Train: 0.7721 (Easy: 0.4602, Hard: 1.0840) | Val: 0.7080 (Easy: 0.4292, Hard: 0.9924) | LR: 0.001000
=> Epoch 056 | Train: 0.7701 (Easy: 0.4632, Hard: 1.0798) | Val: 0.7023 (Easy: 0.4280, Hard: 0.9848) | LR: 0.001000
=> Epoch 057 | Train: 0.7752 (Easy: 0.4579, Hard: 1.0999) | Val: 0.7017 (Easy: 0.4341, Hard: 0.9757) | LR: 0.001000
=> LR reduced: 0.001000 -> 0.000500
=> Epoch 058 | Train: 0.7668 (Easy: 0.4599, Hard: 1.0731) | Val: 0.7103 (Easy: 0.4264, Hard: 0.9963) | LR: 0.000500
=> Epoch 059 | Train: 0.7618 (Easy: 0.4605, Hard: 1.0695) | Val: 0.7109 (Easy: 0.4246, Hard: 0.9995) | LR: 0.000500
=> Epoch 060 | Train: 0.7758 (Easy: 0.4556, Hard: 1.0998) | Val: 0.7137 (Easy: 0.4259, Hard: 1.0046) | LR: 0.000500
=> Epoch 061 | Train: 0.7647 (Easy: 0.4514, Hard: 1.0730) | Val: 0.7058 (Easy: 0.4240, Hard: 0.9926) | LR: 0.000500
=> Epoch 062 | Train: 0.7601 (Easy: 0.4561, Hard: 1.0646) | Val: 0.7104 (Easy: 0.4234, Hard: 1.0003) | LR: 0.000500
=> Early stopping triggered
=> Final Test Accuracy: 0.6794 | Easy: 0.7933 | Hard: 0.5000

=> Split: 1 | Features: ['dir_sim', 'recency', 'is_entrance']
=> Epoch 000 | Train: 1.2014 (Easy: 0.8445, Hard: 1.5496) | Val: 0.8907 (Easy: 0.5237, Hard: 1.3427) | LR: 0.001000
=> Epoch 001 | Train: 1.0310 (Easy: 0.5688, Hard: 1.4891) | Val: 0.8633 (Easy: 0.4974, Hard: 1.3230) | LR: 0.001000
=> Epoch 002 | Train: 0.9865 (Easy: 0.5502, Hard: 1.4125) | Val: 0.8444 (Easy: 0.4924, Hard: 1.2963) | LR: 0.001000
=> Epoch 003 | Train: 0.9724 (Easy: 0.5484, Hard: 1.3923) | Val: 0.8280 (Easy: 0.5022, Hard: 1.2505) | LR: 0.001000
=> Epoch 004 | Train: 0.9553 (Easy: 0.5390, Hard: 1.3630) | Val: 0.8137 (Easy: 0.5025, Hard: 1.2200) | LR: 0.001000
=> Epoch 005 | Train: 0.9418 (Easy: 0.5374, Hard: 1.3398) | Val: 0.8130 (Easy: 0.5357, Hard: 1.1805) | LR: 0.001000
=> Epoch 006 | Train: 0.9346 (Easy: 0.5325, Hard: 1.3271) | Val: 0.7969 (Easy: 0.5273, Hard: 1.1551) | LR: 0.001000
=> Epoch 007 | Train: 0.9168 (Easy: 0.5107, Hard: 1.3145) | Val: 0.7733 (Easy: 0.4862, Hard: 1.1537) | LR: 0.001000
=> Epoch 008 | Train: 0.9066 (Easy: 0.5157, Hard: 1.2897) | Val: 0.7578 (Easy: 0.4770, Hard: 1.1301) | LR: 0.001000
=> Epoch 009 | Train: 0.8975 (Easy: 0.5071, Hard: 1.2798) | Val: 0.7601 (Easy: 0.4825, Hard: 1.1286) | LR: 0.001000
=> Epoch 010 | Train: 0.8839 (Easy: 0.4919, Hard: 1.2701) | Val: 0.7422 (Easy: 0.4587, Hard: 1.1157) | LR: 0.001000
=> Epoch 011 | Train: 0.8742 (Easy: 0.4937, Hard: 1.2517) | Val: 0.7218 (Easy: 0.4228, Hard: 1.1119) | LR: 0.001000
=> Epoch 012 | Train: 0.8692 (Easy: 0.4856, Hard: 1.2423) | Val: 0.7171 (Easy: 0.4211, Hard: 1.1013) | LR: 0.001000
=> Epoch 013 | Train: 0.8662 (Easy: 0.4831, Hard: 1.2383) | Val: 0.7172 (Easy: 0.4210, Hard: 1.1021) | LR: 0.001000
=> Epoch 014 | Train: 0.8480 (Easy: 0.4741, Hard: 1.2117) | Val: 0.7124 (Easy: 0.4147, Hard: 1.0975) | LR: 0.001000
