=> Trial Start: ['dir_sim', 'recency', 'is_common']

=> Split: 0 | Features: ['dir_sim', 'recency', 'is_common']
=> Epoch 067 | Train: 0.8556 (Easy: 0.4834, Hard: 1.2100) | Val: 0.7453 (Easy: 0.4413, Hard: 1.0659) | LR: 0.000500
=> Epoch 068 | Train: 0.8566 (Easy: 0.4770, Hard: 1.2231) | Val: 0.7451 (Easy: 0.4399, Hard: 1.0681) | LR: 0.000500
=> Epoch 069 | Train: 0.8545 (Easy: 0.4778, Hard: 1.2230) | Val: 0.7420 (Easy: 0.4405, Hard: 1.0604) | LR: 0.000500
=> Epoch 070 | Train: 0.8520 (Easy: 0.4852, Hard: 1.2095) | Val: 0.7443 (Easy: 0.4430, Hard: 1.0623) | LR: 0.000500
=> Epoch 071 | Train: 0.8469 (Easy: 0.4811, Hard: 1.1958) | Val: 0.7411 (Easy: 0.4424, Hard: 1.0547) | LR: 0.000500
=> Epoch 072 | Train: 0.8549 (Easy: 0.4834, Hard: 1.2132) | Val: 0.7453 (Easy: 0.4419, Hard: 1.0652) | LR: 0.000500
=> Epoch 073 | Train: 0.8463 (Easy: 0.4733, Hard: 1.2042) | Val: 0.7420 (Easy: 0.4409, Hard: 1.0615) | LR: 0.000500
=> Epoch 074 | Train: 0.8474 (Easy: 0.4834, Hard: 1.1967) | Val: 0.7413 (Easy: 0.4397, Hard: 1.0632) | LR: 0.000500
=> Epoch 075 | Train: 0.8437 (Easy: 0.4801, Hard: 1.1896) | Val: 0.7374 (Easy: 0.4413, Hard: 1.0525) | LR: 0.000500
=> Epoch 076 | Train: 0.8442 (Easy: 0.4865, Hard: 1.1921) | Val: 0.7391 (Easy: 0.4389, Hard: 1.0582) | LR: 0.000500
=> Epoch 077 | Train: 0.8483 (Easy: 0.4794, Hard: 1.2081) | Val: 0.7385 (Easy: 0.4393, Hard: 1.0565) | LR: 0.000500
=> Epoch 078 | Train: 0.8528 (Easy: 0.4772, Hard: 1.2171) | Val: 0.7399 (Easy: 0.4374, Hard: 1.0626) | LR: 0.000500
=> Epoch 079 | Train: 0.8558 (Easy: 0.4741, Hard: 1.2249) | Val: 0.7373 (Easy: 0.4397, Hard: 1.0538) | LR: 0.000500
=> Epoch 080 | Train: 0.8500 (Easy: 0.4841, Hard: 1.2077) | Val: 0.7398 (Easy: 0.4415, Hard: 1.0535) | LR: 0.000500
=> Epoch 081 | Train: 0.8406 (Easy: 0.4825, Hard: 1.1805) | Val: 0.7400 (Easy: 0.4383, Hard: 1.0558) | LR: 0.000500
=> Epoch 082 | Train: 0.8405 (Easy: 0.4730, Hard: 1.1925) | Val: 0.7343 (Easy: 0.4374, Hard: 1.0505) | LR: 0.000500
=> Epoch 083 | Train: 0.8500 (Easy: 0.4773, Hard: 1.2037) | Val: 0.7369 (Easy: 0.4388, Hard: 1.0531) | LR: 0.000500
=> Epoch 084 | Train: 0.8428 (Easy: 0.4724, Hard: 1.1981) | Val: 0.7414 (Easy: 0.4382, Hard: 1.0588) | LR: 0.000500
=> Epoch 085 | Train: 0.8263 (Easy: 0.4807, Hard: 1.1610) | Val: 0.7369 (Easy: 0.4363, Hard: 1.0523) | LR: 0.000500
=> Epoch 086 | Train: 0.8485 (Easy: 0.4799, Hard: 1.2049) | Val: 0.7357 (Easy: 0.4373, Hard: 1.0502) | LR: 0.000500
=> Epoch 087 | Train: 0.8344 (Easy: 0.4784, Hard: 1.1756) | Val: 0.7352 (Easy: 0.4383, Hard: 1.0475) | LR: 0.000500
=> Epoch 088 | Train: 0.8437 (Easy: 0.4865, Hard: 1.1917) | Val: 0.7356 (Easy: 0.4405, Hard: 1.0458) | LR: 0.000500
=> Epoch 089 | Train: 0.8428 (Easy: 0.4829, Hard: 1.1916) | Val: 0.7320 (Easy: 0.4427, Hard: 1.0398) | LR: 0.000500
=> Epoch 090 | Train: 0.8388 (Easy: 0.4800, Hard: 1.1853) | Val: 0.7299 (Easy: 0.4396, Hard: 1.0393) | LR: 0.000500
=> Epoch 091 | Train: 0.8268 (Easy: 0.4674, Hard: 1.1732) | Val: 0.7303 (Easy: 0.4368, Hard: 1.0407) | LR: 0.000500
=> Epoch 092 | Train: 0.8363 (Easy: 0.4747, Hard: 1.1886) | Val: 0.7300 (Easy: 0.4415, Hard: 1.0339) | LR: 0.000500
=> Epoch 093 | Train: 0.8258 (Easy: 0.4724, Hard: 1.1711) | Val: 0.7283 (Easy: 0.4379, Hard: 1.0380) | LR: 0.000500
=> Epoch 094 | Train: 0.8246 (Easy: 0.4695, Hard: 1.1704) | Val: 0.7276 (Easy: 0.4370, Hard: 1.0354) | LR: 0.000500
=> Epoch 095 | Train: 0.8426 (Easy: 0.4814, Hard: 1.2012) | Val: 0.7257 (Easy: 0.4410, Hard: 1.0297) | LR: 0.000500
=> Epoch 096 | Train: 0.8296 (Easy: 0.4797, Hard: 1.1741) | Val: 0.7274 (Easy: 0.4436, Hard: 1.0267) | LR: 0.000500
=> Epoch 097 | Train: 0.8271 (Easy: 0.4803, Hard: 1.1694) | Val: 0.7230 (Easy: 0.4422, Hard: 1.0209) | LR: 0.000500
=> Epoch 098 | Train: 0.8326 (Easy: 0.4822, Hard: 1.1743) | Val: 0.7246 (Easy: 0.4442, Hard: 1.0205) | LR: 0.000500
=> Epoch 099 | Train: 0.8237 (Easy: 0.4723, Hard: 1.1607) | Val: 0.7224 (Easy: 0.4413, Hard: 1.0227) | LR: 0.000500
=> Epoch 100 | Train: 0.8201 (Easy: 0.4775, Hard: 1.1588) | Val: 0.7232 (Easy: 0.4409, Hard: 1.0203) | LR: 0.000500
=> Epoch 101 | Train: 0.8343 (Easy: 0.4831, Hard: 1.1736) | Val: 0.7268 (Easy: 0.4441, Hard: 1.0245) | LR: 0.000500
=> Epoch 102 | Train: 0.8218 (Easy: 0.4688, Hard: 1.1600) | Val: 0.7227 (Easy: 0.4407, Hard: 1.0233) | LR: 0.000500
=> Epoch 103 | Train: 0.8269 (Easy: 0.4773, Hard: 1.1664) | Val: 0.7200 (Easy: 0.4406, Hard: 1.0165) | LR: 0.000500
=> Epoch 104 | Train: 0.8330 (Easy: 0.4842, Hard: 1.1695) | Val: 0.7218 (Easy: 0.4414, Hard: 1.0150) | LR: 0.000500
=> Epoch 105 | Train: 0.8152 (Easy: 0.4677, Hard: 1.1550) | Val: 0.7170 (Easy: 0.4395, Hard: 1.0096) | LR: 0.000500
=> Epoch 106 | Train: 0.8282 (Easy: 0.4778, Hard: 1.1726) | Val: 0.7181 (Easy: 0.4431, Hard: 1.0087) | LR: 0.000500
=> Epoch 107 | Train: 0.8259 (Easy: 0.4766, Hard: 1.1733) | Val: 0.7180 (Easy: 0.4423, Hard: 1.0103) | LR: 0.000500
=> Epoch 108 | Train: 0.8293 (Easy: 0.4774, Hard: 1.1722) | Val: 0.7160 (Easy: 0.4443, Hard: 1.0025) | LR: 0.000500
=> Epoch 109 | Train: 0.8285 (Easy: 0.4791, Hard: 1.1721) | Val: 0.7175 (Easy: 0.4469, Hard: 0.9998) | LR: 0.000500
=> Epoch 110 | Train: 0.8217 (Easy: 0.4765, Hard: 1.1509) | Val: 0.7189 (Easy: 0.4475, Hard: 1.0091) | LR: 0.000500
=> Epoch 111 | Train: 0.8215 (Easy: 0.4731, Hard: 1.1537) | Val: 0.7171 (Easy: 0.4461, Hard: 1.0057) | LR: 0.000500
=> Epoch 112 | Train: 0.8187 (Easy: 0.4739, Hard: 1.1535) | Val: 0.7140 (Easy: 0.4416, Hard: 0.9992) | LR: 0.000500
=> Epoch 113 | Train: 0.8155 (Easy: 0.4810, Hard: 1.1408) | Val: 0.7165 (Easy: 0.4429, Hard: 1.0049) | LR: 0.000500
=> Epoch 114 | Train: 0.8208 (Easy: 0.4733, Hard: 1.1616) | Val: 0.7158 (Easy: 0.4454, Hard: 0.9979) | LR: 0.000500
=> Epoch 115 | Train: 0.7985 (Easy: 0.4717, Hard: 1.1234) | Val: 0.7180 (Easy: 0.4398, Hard: 1.0111) | LR: 0.000500
=> Epoch 116 | Train: 0.8073 (Easy: 0.4754, Hard: 1.1295) | Val: 0.7204 (Easy: 0.4450, Hard: 1.0126) | LR: 0.000500
=> Epoch 117 | Train: 0.8157 (Easy: 0.4669, Hard: 1.1624) | Val: 0.7178 (Easy: 0.4449, Hard: 1.0072) | LR: 0.000500
=> Epoch 118 | Train: 0.8190 (Easy: 0.4713, Hard: 1.1664) | Val: 0.7161 (Easy: 0.4444, Hard: 1.0074) | LR: 0.000500
=> Epoch 119 | Train: 0.8073 (Easy: 0.4711, Hard: 1.1383) | Val: 0.7144 (Easy: 0.4447, Hard: 0.9993) | LR: 0.000500
=> Epoch 120 | Train: 0.8106 (Easy: 0.4761, Hard: 1.1393) | Val: 0.7181 (Easy: 0.4497, Hard: 1.0059) | LR: 0.000500
=> Epoch 121 | Train: 0.8093 (Easy: 0.4714, Hard: 1.1445) | Val: 0.7154 (Easy: 0.4479, Hard: 0.9993) | LR: 0.000500
=> Epoch 122 | Train: 0.8106 (Easy: 0.4736, Hard: 1.1405) | Val: 0.7175 (Easy: 0.4533, Hard: 0.9985) | LR: 0.000500
=> LR reduced: 0.000500 -> 0.000250
=> Epoch 123 | Train: 0.8080 (Easy: 0.4794, Hard: 1.1335) | Val: 0.7145 (Easy: 0.4460, Hard: 0.9942) | LR: 0.000250
=> Epoch 124 | Train: 0.8090 (Easy: 0.4694, Hard: 1.1452) | Val: 0.7106 (Easy: 0.4430, Hard: 0.9920) | LR: 0.000250
=> Epoch 125 | Train: 0.8059 (Easy: 0.4749, Hard: 1.1304) | Val: 0.7119 (Easy: 0.4458, Hard: 0.9916) | LR: 0.000250
=> Epoch 126 | Train: 0.8131 (Easy: 0.4761, Hard: 1.1422) | Val: 0.7113 (Easy: 0.4454, Hard: 0.9893) | LR: 0.000250
=> Epoch 127 | Train: 0.8004 (Easy: 0.4733, Hard: 1.1229) | Val: 0.7101 (Easy: 0.4414, Hard: 0.9919) | LR: 0.000250
=> Epoch 128 | Train: 0.8061 (Easy: 0.4713, Hard: 1.1335) | Val: 0.7085 (Easy: 0.4446, Hard: 0.9864) | LR: 0.000250
=> Epoch 129 | Train: 0.8088 (Easy: 0.4734, Hard: 1.1417) | Val: 0.7103 (Easy: 0.4432, Hard: 0.9904) | LR: 0.000250
=> Epoch 130 | Train: 0.7891 (Easy: 0.4599, Hard: 1.1098) | Val: 0.7083 (Easy: 0.4435, Hard: 0.9878) | LR: 0.000250
=> Epoch 131 | Train: 0.8076 (Easy: 0.4684, Hard: 1.1459) | Val: 0.7086 (Easy: 0.4456, Hard: 0.9857) | LR: 0.000250
=> Epoch 132 | Train: 0.8026 (Easy: 0.4711, Hard: 1.1273) | Val: 0.7086 (Easy: 0.4423, Hard: 0.9870) | LR: 0.000250
=> Epoch 133 | Train: 0.7972 (Easy: 0.4709, Hard: 1.1146) | Val: 0.7081 (Easy: 0.4407, Hard: 0.9878) | LR: 0.000250
=> Epoch 134 | Train: 0.8052 (Easy: 0.4674, Hard: 1.1354) | Val: 0.7077 (Easy: 0.4426, Hard: 0.9885) | LR: 0.000250
=> Epoch 135 | Train: 0.7988 (Easy: 0.4666, Hard: 1.1276) | Val: 0.7083 (Easy: 0.4429, Hard: 0.9884) | LR: 0.000250
=> Epoch 136 | Train: 0.7851 (Easy: 0.4607, Hard: 1.1019) | Val: 0.7051 (Easy: 0.4416, Hard: 0.9866) | LR: 0.000250
=> Epoch 137 | Train: 0.7971 (Easy: 0.4654, Hard: 1.1187) | Val: 0.7082 (Easy: 0.4392, Hard: 0.9912) | LR: 0.000250
=> Epoch 138 | Train: 0.7841 (Easy: 0.4640, Hard: 1.1022) | Val: 0.7097 (Easy: 0.4366, Hard: 0.9959) | LR: 0.000250
