=> Trial Start: ['dir_sim', 'recency', 'has_dead']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_dead']
=> Epoch 091 | Train: 0.8235 (Easy: 0.5030, Hard: 1.1328) | Val: 0.7329 (Easy: 0.4582, Hard: 1.0285) | LR: 0.000500
=> Epoch 092 | Train: 0.8294 (Easy: 0.5000, Hard: 1.1503) | Val: 0.7338 (Easy: 0.4568, Hard: 1.0348) | LR: 0.000500
=> Epoch 093 | Train: 0.8158 (Easy: 0.4971, Hard: 1.1305) | Val: 0.7330 (Easy: 0.4592, Hard: 1.0299) | LR: 0.000500
=> Epoch 094 | Train: 0.8180 (Easy: 0.4924, Hard: 1.1295) | Val: 0.7445 (Easy: 0.4551, Hard: 1.0554) | LR: 0.000500
=> Epoch 095 | Train: 0.8262 (Easy: 0.5048, Hard: 1.1354) | Val: 0.7339 (Easy: 0.4554, Hard: 1.0358) | LR: 0.000500
=> Epoch 096 | Train: 0.8200 (Easy: 0.4916, Hard: 1.1379) | Val: 0.7364 (Easy: 0.4599, Hard: 1.0365) | LR: 0.000500
=> Epoch 097 | Train: 0.8126 (Easy: 0.4927, Hard: 1.1210) | Val: 0.7372 (Easy: 0.4607, Hard: 1.0351) | LR: 0.000500
=> Epoch 098 | Train: 0.8190 (Easy: 0.4978, Hard: 1.1277) | Val: 0.7343 (Easy: 0.4620, Hard: 1.0281) | LR: 0.000500
=> Epoch 099 | Train: 0.8250 (Easy: 0.5026, Hard: 1.1351) | Val: 0.7290 (Easy: 0.4573, Hard: 1.0218) | LR: 0.000500
=> Epoch 100 | Train: 0.8116 (Easy: 0.4925, Hard: 1.1229) | Val: 0.7311 (Easy: 0.4564, Hard: 1.0285) | LR: 0.000500
=> Epoch 101 | Train: 0.8226 (Easy: 0.5009, Hard: 1.1306) | Val: 0.7367 (Easy: 0.4560, Hard: 1.0363) | LR: 0.000500
=> Epoch 102 | Train: 0.8092 (Easy: 0.4957, Hard: 1.1166) | Val: 0.7321 (Easy: 0.4589, Hard: 1.0275) | LR: 0.000500
=> Epoch 103 | Train: 0.8064 (Easy: 0.5005, Hard: 1.1014) | Val: 0.7295 (Easy: 0.4567, Hard: 1.0236) | LR: 0.000500
=> Epoch 104 | Train: 0.8255 (Easy: 0.4977, Hard: 1.1397) | Val: 0.7335 (Easy: 0.4591, Hard: 1.0294) | LR: 0.000500
=> Epoch 105 | Train: 0.8198 (Easy: 0.4928, Hard: 1.1402) | Val: 0.7336 (Easy: 0.4562, Hard: 1.0333) | LR: 0.000500
=> Epoch 106 | Train: 0.8156 (Easy: 0.4963, Hard: 1.1192) | Val: 0.7321 (Easy: 0.4509, Hard: 1.0337) | LR: 0.000500
=> Epoch 107 | Train: 0.8230 (Easy: 0.5004, Hard: 1.1332) | Val: 0.7328 (Easy: 0.4541, Hard: 1.0293) | LR: 0.000500
=> Epoch 108 | Train: 0.8209 (Easy: 0.4933, Hard: 1.1337) | Val: 0.7305 (Easy: 0.4536, Hard: 1.0259) | LR: 0.000500
=> Epoch 109 | Train: 0.8120 (Easy: 0.5039, Hard: 1.1080) | Val: 0.7256 (Easy: 0.4517, Hard: 1.0181) | LR: 0.000500
=> Epoch 110 | Train: 0.8291 (Easy: 0.5007, Hard: 1.1355) | Val: 0.7346 (Easy: 0.4558, Hard: 1.0307) | LR: 0.000500
=> Epoch 111 | Train: 0.8283 (Easy: 0.4992, Hard: 1.1438) | Val: 0.7283 (Easy: 0.4583, Hard: 1.0221) | LR: 0.000500
=> Epoch 112 | Train: 0.8238 (Easy: 0.5103, Hard: 1.1275) | Val: 0.7298 (Easy: 0.4562, Hard: 1.0229) | LR: 0.000500
=> Epoch 113 | Train: 0.8046 (Easy: 0.4924, Hard: 1.1005) | Val: 0.7243 (Easy: 0.4523, Hard: 1.0142) | LR: 0.000500
=> Epoch 114 | Train: 0.8086 (Easy: 0.5073, Hard: 1.1054) | Val: 0.7173 (Easy: 0.4556, Hard: 0.9984) | LR: 0.000500
=> Epoch 115 | Train: 0.8019 (Easy: 0.4844, Hard: 1.1096) | Val: 0.7197 (Easy: 0.4467, Hard: 1.0129) | LR: 0.000500
=> Epoch 116 | Train: 0.8009 (Easy: 0.4954, Hard: 1.1009) | Val: 0.7211 (Easy: 0.4522, Hard: 1.0115) | LR: 0.000500
=> Epoch 117 | Train: 0.7975 (Easy: 0.4877, Hard: 1.1012) | Val: 0.7278 (Easy: 0.4547, Hard: 1.0182) | LR: 0.000500
=> Epoch 118 | Train: 0.8100 (Easy: 0.4974, Hard: 1.1097) | Val: 0.7205 (Easy: 0.4490, Hard: 1.0123) | LR: 0.000500
=> Epoch 119 | Train: 0.8021 (Easy: 0.4918, Hard: 1.1027) | Val: 0.7176 (Easy: 0.4550, Hard: 1.0006) | LR: 0.000500
=> Epoch 120 | Train: 0.8069 (Easy: 0.4934, Hard: 1.1135) | Val: 0.7213 (Easy: 0.4579, Hard: 1.0047) | LR: 0.000500
=> Epoch 121 | Train: 0.8119 (Easy: 0.4940, Hard: 1.1212) | Val: 0.7240 (Easy: 0.4586, Hard: 1.0086) | LR: 0.000500
=> Epoch 122 | Train: 0.8253 (Easy: 0.4995, Hard: 1.1360) | Val: 0.7226 (Easy: 0.4599, Hard: 1.0006) | LR: 0.000500
=> Epoch 123 | Train: 0.8123 (Easy: 0.5015, Hard: 1.1135) | Val: 0.7208 (Easy: 0.4551, Hard: 1.0035) | LR: 0.000500
=> Epoch 124 | Train: 0.8026 (Easy: 0.4967, Hard: 1.0970) | Val: 0.7203 (Easy: 0.4597, Hard: 0.9994) | LR: 0.000500
=> LR reduced: 0.000500 -> 0.000250
=> Epoch 125 | Train: 0.8074 (Easy: 0.4845, Hard: 1.1175) | Val: 0.7171 (Easy: 0.4589, Hard: 0.9960) | LR: 0.000250
=> Epoch 126 | Train: 0.8124 (Easy: 0.4971, Hard: 1.1183) | Val: 0.7183 (Easy: 0.4598, Hard: 0.9963) | LR: 0.000250
=> Epoch 127 | Train: 0.7979 (Easy: 0.4999, Hard: 1.0890) | Val: 0.7159 (Easy: 0.4577, Hard: 0.9941) | LR: 0.000250
=> Epoch 128 | Train: 0.8044 (Easy: 0.4951, Hard: 1.1061) | Val: 0.7202 (Easy: 0.4606, Hard: 0.9995) | LR: 0.000250
=> Epoch 129 | Train: 0.8002 (Easy: 0.4852, Hard: 1.1074) | Val: 0.7202 (Easy: 0.4600, Hard: 1.0006) | LR: 0.000250
=> Epoch 130 | Train: 0.7953 (Easy: 0.4921, Hard: 1.0865) | Val: 0.7190 (Easy: 0.4575, Hard: 1.0017) | LR: 0.000250
=> Epoch 131 | Train: 0.7896 (Easy: 0.4857, Hard: 1.0810) | Val: 0.7198 (Easy: 0.4614, Hard: 1.0012) | LR: 0.000250
=> Epoch 132 | Train: 0.7885 (Easy: 0.4943, Hard: 1.0745) | Val: 0.7181 (Easy: 0.4614, Hard: 0.9955) | LR: 0.000250
=> Epoch 133 | Train: 0.7924 (Easy: 0.5001, Hard: 1.0758) | Val: 0.7194 (Easy: 0.4570, Hard: 1.0035) | LR: 0.000250
=> Epoch 134 | Train: 0.8015 (Easy: 0.4898, Hard: 1.1055) | Val: 0.7141 (Easy: 0.4568, Hard: 0.9921) | LR: 0.000250
=> Epoch 135 | Train: 0.8002 (Easy: 0.4880, Hard: 1.0980) | Val: 0.7213 (Easy: 0.4599, Hard: 1.0039) | LR: 0.000250
=> Epoch 136 | Train: 0.7861 (Easy: 0.4904, Hard: 1.0764) | Val: 0.7201 (Easy: 0.4566, Hard: 1.0023) | LR: 0.000250
=> Epoch 137 | Train: 0.7970 (Easy: 0.4844, Hard: 1.1009) | Val: 0.7224 (Easy: 0.4597, Hard: 1.0046) | LR: 0.000250
=> Epoch 138 | Train: 0.7975 (Easy: 0.4897, Hard: 1.0923) | Val: 0.7189 (Easy: 0.4609, Hard: 0.9957) | LR: 0.000250
=> Epoch 139 | Train: 0.7972 (Easy: 0.4942, Hard: 1.0964) | Val: 0.7215 (Easy: 0.4615, Hard: 1.0029) | LR: 0.000250
=> Epoch 140 | Train: 0.7931 (Easy: 0.4876, Hard: 1.0846) | Val: 0.7182 (Easy: 0.4584, Hard: 1.0002) | LR: 0.000250
=> Epoch 141 | Train: 0.7990 (Easy: 0.4943, Hard: 1.0936) | Val: 0.7171 (Easy: 0.4626, Hard: 0.9921) | LR: 0.000250
=> Epoch 142 | Train: 0.7754 (Easy: 0.4826, Hard: 1.0590) | Val: 0.7178 (Easy: 0.4629, Hard: 0.9952) | LR: 0.000250
=> Epoch 143 | Train: 0.7934 (Easy: 0.4868, Hard: 1.0810) | Val: 0.7172 (Easy: 0.4589, Hard: 0.9969) | LR: 0.000250
=> Epoch 144 | Train: 0.7949 (Easy: 0.4891, Hard: 1.0920) | Val: 0.7141 (Easy: 0.4564, Hard: 0.9911) | LR: 0.000250
=> LR reduced: 0.000250 -> 0.000125
=> Epoch 145 | Train: 0.8014 (Easy: 0.4908, Hard: 1.1080) | Val: 0.7166 (Easy: 0.4619, Hard: 0.9913) | LR: 0.000125
=> Epoch 146 | Train: 0.7845 (Easy: 0.4779, Hard: 1.0785) | Val: 0.7135 (Easy: 0.4618, Hard: 0.9868) | LR: 0.000125
=> Epoch 147 | Train: 0.7874 (Easy: 0.4914, Hard: 1.0768) | Val: 0.7181 (Easy: 0.4612, Hard: 0.9964) | LR: 0.000125
=> Epoch 148 | Train: 0.7884 (Easy: 0.4819, Hard: 1.0891) | Val: 0.7152 (Easy: 0.4632, Hard: 0.9879) | LR: 0.000125
=> Epoch 149 | Train: 0.7785 (Easy: 0.4870, Hard: 1.0657) | Val: 0.7149 (Easy: 0.4630, Hard: 0.9878) | LR: 0.000125
=> Epoch 150 | Train: 0.7960 (Easy: 0.4946, Hard: 1.0905) | Val: 0.7146 (Easy: 0.4620, Hard: 0.9886) | LR: 0.000125
