=> Trial Start: ['dir_sim', 'recency', 'closeness']

=> Split: 0 | Features: ['dir_sim', 'recency', 'closeness']
=> Epoch 005 | Train: 0.9730 (Easy: 0.5551, Hard: 1.4003) | Val: 0.8437 (Easy: 0.4842, Hard: 1.3064) | LR: 0.001000
=> Epoch 006 | Train: 0.9718 (Easy: 0.5564, Hard: 1.3920) | Val: 0.8415 (Easy: 0.4810, Hard: 1.3060) | LR: 0.001000
=> Epoch 007 | Train: 0.9666 (Easy: 0.5461, Hard: 1.3946) | Val: 0.8320 (Easy: 0.4770, Hard: 1.2900) | LR: 0.001000
=> Epoch 008 | Train: 0.9526 (Easy: 0.5465, Hard: 1.3684) | Val: 0.8252 (Easy: 0.4857, Hard: 1.2656) | LR: 0.001000
=> Epoch 009 | Train: 0.9536 (Easy: 0.5381, Hard: 1.3752) | Val: 0.8202 (Easy: 0.4832, Hard: 1.2575) | LR: 0.001000
=> Epoch 010 | Train: 0.9383 (Easy: 0.5331, Hard: 1.3605) | Val: 0.8206 (Easy: 0.4903, Hard: 1.2524) | LR: 0.001000
=> Epoch 011 | Train: 0.9426 (Easy: 0.5298, Hard: 1.3680) | Val: 0.8186 (Easy: 0.4946, Hard: 1.2442) | LR: 0.001000
=> Epoch 012 | Train: 0.9330 (Easy: 0.5177, Hard: 1.3592) | Val: 0.8120 (Easy: 0.4885, Hard: 1.2342) | LR: 0.001000
=> Epoch 013 | Train: 0.9343 (Easy: 0.5159, Hard: 1.3639) | Val: 0.8037 (Easy: 0.4858, Hard: 1.2168) | LR: 0.001000
=> Epoch 014 | Train: 0.9197 (Easy: 0.5071, Hard: 1.3408) | Val: 0.7951 (Easy: 0.4648, Hard: 1.2218) | LR: 0.001000
=> Epoch 015 | Train: 0.9165 (Easy: 0.5107, Hard: 1.3328) | Val: 0.7945 (Easy: 0.4696, Hard: 1.2140) | LR: 0.001000
=> Epoch 016 | Train: 0.9076 (Easy: 0.4991, Hard: 1.3276) | Val: 0.7882 (Easy: 0.4522, Hard: 1.2233) | LR: 0.001000
=> Epoch 017 | Train: 0.9063 (Easy: 0.4957, Hard: 1.3303) | Val: 0.7817 (Easy: 0.4599, Hard: 1.1984) | LR: 0.001000
=> Epoch 018 | Train: 0.8790 (Easy: 0.4864, Hard: 1.2852) | Val: 0.7874 (Easy: 0.4542, Hard: 1.2185) | LR: 0.001000
=> Epoch 019 | Train: 0.8971 (Easy: 0.4885, Hard: 1.3148) | Val: 0.7689 (Easy: 0.4444, Hard: 1.1867) | LR: 0.001000
=> Epoch 020 | Train: 0.8775 (Easy: 0.4784, Hard: 1.2836) | Val: 0.7630 (Easy: 0.4450, Hard: 1.1709) | LR: 0.001000
=> Epoch 021 | Train: 0.8760 (Easy: 0.4887, Hard: 1.2617) | Val: 0.7565 (Easy: 0.4322, Hard: 1.1710) | LR: 0.001000
=> Epoch 022 | Train: 0.8692 (Easy: 0.4808, Hard: 1.2609) | Val: 0.7428 (Easy: 0.4167, Hard: 1.1540) | LR: 0.001000
=> Epoch 023 | Train: 0.8663 (Easy: 0.4808, Hard: 1.2586) | Val: 0.7414 (Easy: 0.4182, Hard: 1.1475) | LR: 0.001000
=> Epoch 024 | Train: 0.8554 (Easy: 0.4806, Hard: 1.2374) | Val: 0.7375 (Easy: 0.4199, Hard: 1.1365) | LR: 0.001000
=> Epoch 025 | Train: 0.8580 (Easy: 0.4762, Hard: 1.2464) | Val: 0.7330 (Easy: 0.4186, Hard: 1.1272) | LR: 0.001000
=> Epoch 026 | Train: 0.8574 (Easy: 0.4750, Hard: 1.2388) | Val: 0.7341 (Easy: 0.4129, Hard: 1.1338) | LR: 0.001000
=> Epoch 027 | Train: 0.8462 (Easy: 0.4756, Hard: 1.2282) | Val: 0.7349 (Easy: 0.4134, Hard: 1.1367) | LR: 0.001000
=> Epoch 028 | Train: 0.8386 (Easy: 0.4651, Hard: 1.2223) | Val: 0.7303 (Easy: 0.4113, Hard: 1.1291) | LR: 0.001000
=> Epoch 029 | Train: 0.8424 (Easy: 0.4706, Hard: 1.2192) | Val: 0.7239 (Easy: 0.4155, Hard: 1.1110) | LR: 0.001000
=> Epoch 030 | Train: 0.8356 (Easy: 0.4724, Hard: 1.2011) | Val: 0.7232 (Easy: 0.4100, Hard: 1.1142) | LR: 0.001000
=> Epoch 031 | Train: 0.8320 (Easy: 0.4642, Hard: 1.2081) | Val: 0.7220 (Easy: 0.4055, Hard: 1.1183) | LR: 0.001000
=> Epoch 032 | Train: 0.8383 (Easy: 0.4716, Hard: 1.2132) | Val: 0.7190 (Easy: 0.4071, Hard: 1.1093) | LR: 0.001000
=> Epoch 033 | Train: 0.8200 (Easy: 0.4653, Hard: 1.1825) | Val: 0.7127 (Easy: 0.4065, Hard: 1.0956) | LR: 0.001000
=> Epoch 034 | Train: 0.8234 (Easy: 0.4677, Hard: 1.1813) | Val: 0.7129 (Easy: 0.4041, Hard: 1.0973) | LR: 0.001000
=> Epoch 035 | Train: 0.8250 (Easy: 0.4721, Hard: 1.1890) | Val: 0.7160 (Easy: 0.4154, Hard: 1.0921) | LR: 0.001000
=> Epoch 036 | Train: 0.8252 (Easy: 0.4760, Hard: 1.1742) | Val: 0.7034 (Easy: 0.4160, Hard: 1.0635) | LR: 0.001000
=> Epoch 037 | Train: 0.8196 (Easy: 0.4646, Hard: 1.1747) | Val: 0.7049 (Easy: 0.4058, Hard: 1.0800) | LR: 0.001000
=> Epoch 038 | Train: 0.8107 (Easy: 0.4644, Hard: 1.1697) | Val: 0.7060 (Easy: 0.4076, Hard: 1.0836) | LR: 0.001000
