=> Trial Start: ['dir_sim', 'recency', 'room_area']

=> Split: 0 | Features: ['dir_sim', 'recency', 'room_area']
=> Epoch 061 | Train: 0.7755 (Easy: 0.4389, Hard: 1.1055) | Val: 0.7053 (Easy: 0.4382, Hard: 0.9856) | LR: 0.001000
=> Epoch 062 | Train: 0.7663 (Easy: 0.4464, Hard: 1.0803) | Val: 0.6955 (Easy: 0.4373, Hard: 0.9670) | LR: 0.001000
=> Epoch 063 | Train: 0.7674 (Easy: 0.4434, Hard: 1.0871) | Val: 0.6974 (Easy: 0.4429, Hard: 0.9714) | LR: 0.001000
=> Epoch 064 | Train: 0.7706 (Easy: 0.4600, Hard: 1.0773) | Val: 0.7194 (Easy: 0.4525, Hard: 1.0004) | LR: 0.001000
=> Epoch 065 | Train: 0.7625 (Easy: 0.4440, Hard: 1.0759) | Val: 0.7140 (Easy: 0.4475, Hard: 1.0068) | LR: 0.001000
=> Epoch 066 | Train: 0.7651 (Easy: 0.4417, Hard: 1.0781) | Val: 0.7019 (Easy: 0.4450, Hard: 0.9783) | LR: 0.001000
=> Epoch 067 | Train: 0.7659 (Easy: 0.4483, Hard: 1.0781) | Val: 0.6963 (Easy: 0.4380, Hard: 0.9744) | LR: 0.001000
=> Epoch 068 | Train: 0.7626 (Easy: 0.4395, Hard: 1.0764) | Val: 0.7019 (Easy: 0.4415, Hard: 0.9866) | LR: 0.001000
=> Epoch 069 | Train: 0.7661 (Easy: 0.4430, Hard: 1.0845) | Val: 0.7175 (Easy: 0.4542, Hard: 1.0042) | LR: 0.001000
=> LR reduced: 0.001000 -> 0.000500
=> Epoch 070 | Train: 0.7645 (Easy: 0.4447, Hard: 1.0807) | Val: 0.6857 (Easy: 0.4278, Hard: 0.9667) | LR: 0.000500
=> Epoch 071 | Train: 0.7522 (Easy: 0.4372, Hard: 1.0565) | Val: 0.6819 (Easy: 0.4263, Hard: 0.9612) | LR: 0.000500
=> Epoch 072 | Train: 0.7589 (Easy: 0.4446, Hard: 1.0654) | Val: 0.6890 (Easy: 0.4321, Hard: 0.9702) | LR: 0.000500
=> Epoch 073 | Train: 0.7488 (Easy: 0.4354, Hard: 1.0499) | Val: 0.6861 (Easy: 0.4350, Hard: 0.9635) | LR: 0.000500
=> Epoch 074 | Train: 0.7531 (Easy: 0.4390, Hard: 1.0561) | Val: 0.6826 (Easy: 0.4254, Hard: 0.9639) | LR: 0.000500
=> Epoch 075 | Train: 0.7390 (Easy: 0.4357, Hard: 1.0321) | Val: 0.6961 (Easy: 0.4374, Hard: 0.9827) | LR: 0.000500
=> Epoch 076 | Train: 0.7420 (Easy: 0.4341, Hard: 1.0445) | Val: 0.6923 (Easy: 0.4345, Hard: 0.9770) | LR: 0.000500
=> Epoch 077 | Train: 0.7493 (Easy: 0.4431, Hard: 1.0483) | Val: 0.6874 (Easy: 0.4310, Hard: 0.9726) | LR: 0.000500
=> Epoch 078 | Train: 0.7599 (Easy: 0.4425, Hard: 1.0654) | Val: 0.6786 (Easy: 0.4271, Hard: 0.9551) | LR: 0.000500
=> Epoch 079 | Train: 0.7516 (Easy: 0.4336, Hard: 1.0577) | Val: 0.6844 (Easy: 0.4258, Hard: 0.9695) | LR: 0.000500
=> Epoch 080 | Train: 0.7413 (Easy: 0.4412, Hard: 1.0318) | Val: 0.6830 (Easy: 0.4282, Hard: 0.9627) | LR: 0.000500
=> Epoch 081 | Train: 0.7468 (Easy: 0.4381, Hard: 1.0497) | Val: 0.6777 (Easy: 0.4229, Hard: 0.9589) | LR: 0.000500
=> Epoch 082 | Train: 0.7538 (Easy: 0.4365, Hard: 1.0589) | Val: 0.6863 (Easy: 0.4289, Hard: 0.9719) | LR: 0.000500
=> Epoch 083 | Train: 0.7446 (Easy: 0.4369, Hard: 1.0339) | Val: 0.6727 (Easy: 0.4185, Hard: 0.9483) | LR: 0.000500
=> Epoch 084 | Train: 0.7434 (Easy: 0.4359, Hard: 1.0360) | Val: 0.6922 (Easy: 0.4333, Hard: 0.9806) | LR: 0.000500
=> Epoch 085 | Train: 0.7410 (Easy: 0.4359, Hard: 1.0373) | Val: 0.6877 (Easy: 0.4386, Hard: 0.9652) | LR: 0.000500
=> Epoch 086 | Train: 0.7482 (Easy: 0.4320, Hard: 1.0581) | Val: 0.6860 (Easy: 0.4272, Hard: 0.9729) | LR: 0.000500
=> Epoch 087 | Train: 0.7392 (Easy: 0.4381, Hard: 1.0300) | Val: 0.6788 (Easy: 0.4329, Hard: 0.9487) | LR: 0.000500
=> Epoch 088 | Train: 0.7477 (Easy: 0.4438, Hard: 1.0435) | Val: 0.6843 (Easy: 0.4366, Hard: 0.9632) | LR: 0.000500
=> Epoch 089 | Train: 0.7522 (Easy: 0.4392, Hard: 1.0596) | Val: 0.6831 (Easy: 0.4274, Hard: 0.9684) | LR: 0.000500
=> Epoch 090 | Train: 0.7611 (Easy: 0.4443, Hard: 1.0685) | Val: 0.6789 (Easy: 0.4284, Hard: 0.9610) | LR: 0.000500
=> Epoch 091 | Train: 0.7392 (Easy: 0.4373, Hard: 1.0346) | Val: 0.6820 (Easy: 0.4308, Hard: 0.9650) | LR: 0.000500
=> Epoch 092 | Train: 0.7590 (Easy: 0.4411, Hard: 1.0696) | Val: 0.6694 (Easy: 0.4185, Hard: 0.9445) | LR: 0.000500
=> Epoch 093 | Train: 0.7495 (Easy: 0.4414, Hard: 1.0534) | Val: 0.6767 (Easy: 0.4272, Hard: 0.9518) | LR: 0.000500
