=> Trial Start: ['dir_sim', 'recency', 'ct']

=> Split: 0 | Features: ['dir_sim', 'recency', 'ct']
=> Epoch 065 | Train: 0.8119 (Easy: 0.4945, Hard: 1.1113) | Val: 0.7572 (Easy: 0.4790, Hard: 1.0623) | LR: 0.001000
=> Epoch 066 | Train: 0.8158 (Easy: 0.4959, Hard: 1.1261) | Val: 0.7509 (Easy: 0.4724, Hard: 1.0573) | LR: 0.001000
=> Epoch 067 | Train: 0.8067 (Easy: 0.4807, Hard: 1.1198) | Val: 0.7532 (Easy: 0.4802, Hard: 1.0522) | LR: 0.001000
=> Epoch 068 | Train: 0.8024 (Easy: 0.4757, Hard: 1.1138) | Val: 0.7496 (Easy: 0.4669, Hard: 1.0608) | LR: 0.001000
=> Epoch 069 | Train: 0.7954 (Easy: 0.4873, Hard: 1.0974) | Val: 0.7455 (Easy: 0.4700, Hard: 1.0500) | LR: 0.001000
=> Epoch 070 | Train: 0.7985 (Easy: 0.4821, Hard: 1.1067) | Val: 0.7430 (Easy: 0.4662, Hard: 1.0440) | LR: 0.001000
=> Epoch 071 | Train: 0.7959 (Easy: 0.4848, Hard: 1.1004) | Val: 0.7420 (Easy: 0.4732, Hard: 1.0363) | LR: 0.001000
=> Epoch 072 | Train: 0.7932 (Easy: 0.4786, Hard: 1.1001) | Val: 0.7437 (Easy: 0.4751, Hard: 1.0382) | LR: 0.001000
=> Epoch 073 | Train: 0.8021 (Easy: 0.4850, Hard: 1.1044) | Val: 0.7413 (Easy: 0.4739, Hard: 1.0393) | LR: 0.001000
=> Epoch 074 | Train: 0.7964 (Easy: 0.4821, Hard: 1.0921) | Val: 0.7446 (Easy: 0.4748, Hard: 1.0416) | LR: 0.001000
=> Epoch 075 | Train: 0.8024 (Easy: 0.4884, Hard: 1.1044) | Val: 0.7397 (Easy: 0.4690, Hard: 1.0369) | LR: 0.001000
=> Epoch 076 | Train: 0.7997 (Easy: 0.4889, Hard: 1.0990) | Val: 0.7455 (Easy: 0.4642, Hard: 1.0473) | LR: 0.001000
=> Epoch 077 | Train: 0.7822 (Easy: 0.4731, Hard: 1.0838) | Val: 0.7399 (Easy: 0.4717, Hard: 1.0320) | LR: 0.001000
=> Epoch 078 | Train: 0.8000 (Easy: 0.4740, Hard: 1.1146) | Val: 0.7401 (Easy: 0.4667, Hard: 1.0399) | LR: 0.001000
=> Epoch 079 | Train: 0.7928 (Easy: 0.4795, Hard: 1.0956) | Val: 0.7423 (Easy: 0.4645, Hard: 1.0439) | LR: 0.001000
=> Epoch 080 | Train: 0.7897 (Easy: 0.4792, Hard: 1.0899) | Val: 0.7342 (Easy: 0.4668, Hard: 1.0252) | LR: 0.001000
=> Epoch 081 | Train: 0.7798 (Easy: 0.4716, Hard: 1.0741) | Val: 0.7336 (Easy: 0.4597, Hard: 1.0362) | LR: 0.001000
=> Epoch 082 | Train: 0.7939 (Easy: 0.4907, Hard: 1.0835) | Val: 0.7316 (Easy: 0.4643, Hard: 1.0241) | LR: 0.001000
