=> Trial Start: ['dir_sim', 'recency', 'degree']

=> Split: 0 | Features: ['dir_sim', 'recency', 'degree']
=> Epoch 105 | Train: 0.7584 (Easy: 0.4638, Hard: 1.0544) | Val: 0.7042 (Easy: 0.4437, Hard: 0.9780) | LR: 0.000250
=> Epoch 106 | Train: 0.7738 (Easy: 0.4669, Hard: 1.0764) | Val: 0.7045 (Easy: 0.4445, Hard: 0.9778) | LR: 0.000250
=> Epoch 107 | Train: 0.7800 (Easy: 0.4750, Hard: 1.0927) | Val: 0.7065 (Easy: 0.4466, Hard: 0.9771) | LR: 0.000250
=> Epoch 108 | Train: 0.7677 (Easy: 0.4604, Hard: 1.0718) | Val: 0.7026 (Easy: 0.4469, Hard: 0.9701) | LR: 0.000250
=> Epoch 109 | Train: 0.7713 (Easy: 0.4723, Hard: 1.0724) | Val: 0.7035 (Easy: 0.4457, Hard: 0.9715) | LR: 0.000250
=> Epoch 110 | Train: 0.7735 (Easy: 0.4612, Hard: 1.0802) | Val: 0.7043 (Easy: 0.4484, Hard: 0.9701) | LR: 0.000250
=> Epoch 111 | Train: 0.7712 (Easy: 0.4676, Hard: 1.0660) | Val: 0.7035 (Easy: 0.4450, Hard: 0.9737) | LR: 0.000250
=> Epoch 112 | Train: 0.7746 (Easy: 0.4730, Hard: 1.0723) | Val: 0.7020 (Easy: 0.4436, Hard: 0.9702) | LR: 0.000250
=> Epoch 113 | Train: 0.7633 (Easy: 0.4712, Hard: 1.0526) | Val: 0.7025 (Easy: 0.4479, Hard: 0.9669) | LR: 0.000250
=> Epoch 114 | Train: 0.7615 (Easy: 0.4581, Hard: 1.0652) | Val: 0.7035 (Easy: 0.4456, Hard: 0.9713) | LR: 0.000250
=> Epoch 115 | Train: 0.7678 (Easy: 0.4629, Hard: 1.0719) | Val: 0.7046 (Easy: 0.4442, Hard: 0.9756) | LR: 0.000250
=> Epoch 116 | Train: 0.7631 (Easy: 0.4666, Hard: 1.0569) | Val: 0.7036 (Easy: 0.4445, Hard: 0.9726) | LR: 0.000250
=> Epoch 117 | Train: 0.7698 (Easy: 0.4584, Hard: 1.0793) | Val: 0.7026 (Easy: 0.4438, Hard: 0.9723) | LR: 0.000250
