=> Trial Start: ['dir_sim', 'recency', 'is_stair']

=> Split: 0 | Features: ['dir_sim', 'recency', 'is_stair']
=> Epoch 064 | Train: 0.8118 (Easy: 0.4786, Hard: 1.1502) | Val: 0.7154 (Easy: 0.4475, Hard: 1.0153) | LR: 0.001000
=> Epoch 065 | Train: 0.8101 (Easy: 0.4643, Hard: 1.1574) | Val: 0.7203 (Easy: 0.4548, Hard: 1.0158) | LR: 0.001000
=> Epoch 066 | Train: 0.8013 (Easy: 0.4681, Hard: 1.1325) | Val: 0.7206 (Easy: 0.4447, Hard: 1.0281) | LR: 0.001000
=> Epoch 067 | Train: 0.8053 (Easy: 0.4779, Hard: 1.1334) | Val: 0.7153 (Easy: 0.4420, Hard: 1.0165) | LR: 0.001000
=> Epoch 068 | Train: 0.7995 (Easy: 0.4675, Hard: 1.1334) | Val: 0.7157 (Easy: 0.4452, Hard: 1.0139) | LR: 0.001000
=> Epoch 069 | Train: 0.7951 (Easy: 0.4686, Hard: 1.1281) | Val: 0.7128 (Easy: 0.4475, Hard: 1.0087) | LR: 0.001000
=> Epoch 070 | Train: 0.8007 (Easy: 0.4663, Hard: 1.1370) | Val: 0.7095 (Easy: 0.4316, Hard: 1.0182) | LR: 0.001000
=> Epoch 071 | Train: 0.7866 (Easy: 0.4630, Hard: 1.1087) | Val: 0.7109 (Easy: 0.4498, Hard: 1.0047) | LR: 0.001000
=> Epoch 072 | Train: 0.7960 (Easy: 0.4686, Hard: 1.1240) | Val: 0.7104 (Easy: 0.4312, Hard: 1.0172) | LR: 0.001000
=> Epoch 073 | Train: 0.7868 (Easy: 0.4656, Hard: 1.1053) | Val: 0.7076 (Easy: 0.4379, Hard: 1.0115) | LR: 0.001000
=> Epoch 074 | Train: 0.7888 (Easy: 0.4728, Hard: 1.1062) | Val: 0.7040 (Easy: 0.4399, Hard: 0.9984) | LR: 0.001000
=> Epoch 075 | Train: 0.7935 (Easy: 0.4608, Hard: 1.1254) | Val: 0.7074 (Easy: 0.4355, Hard: 1.0123) | LR: 0.001000
=> Epoch 076 | Train: 0.7838 (Easy: 0.4742, Hard: 1.0943) | Val: 0.7044 (Easy: 0.4401, Hard: 1.0013) | LR: 0.001000
=> Epoch 077 | Train: 0.7853 (Easy: 0.4604, Hard: 1.1153) | Val: 0.7211 (Easy: 0.4614, Hard: 1.0100) | LR: 0.001000
=> Epoch 078 | Train: 0.7885 (Easy: 0.4621, Hard: 1.1145) | Val: 0.7189 (Easy: 0.4437, Hard: 1.0202) | LR: 0.001000
=> Epoch 079 | Train: 0.7966 (Easy: 0.4667, Hard: 1.1262) | Val: 0.7126 (Easy: 0.4408, Hard: 1.0104) | LR: 0.001000
=> Epoch 080 | Train: 0.7805 (Easy: 0.4615, Hard: 1.1014) | Val: 0.7137 (Easy: 0.4618, Hard: 0.9929) | LR: 0.001000
=> Epoch 081 | Train: 0.7893 (Easy: 0.4734, Hard: 1.0975) | Val: 0.6973 (Easy: 0.4313, Hard: 0.9929) | LR: 0.001000
=> Epoch 082 | Train: 0.7871 (Easy: 0.4562, Hard: 1.1189) | Val: 0.7013 (Easy: 0.4387, Hard: 0.9942) | LR: 0.001000
=> Epoch 083 | Train: 0.7925 (Easy: 0.4723, Hard: 1.1157) | Val: 0.7070 (Easy: 0.4418, Hard: 1.0003) | LR: 0.001000
=> Epoch 084 | Train: 0.7795 (Easy: 0.4653, Hard: 1.0882) | Val: 0.7287 (Easy: 0.4685, Hard: 1.0116) | LR: 0.001000
=> Epoch 085 | Train: 0.7783 (Easy: 0.4556, Hard: 1.0997) | Val: 0.7187 (Easy: 0.4422, Hard: 1.0220) | LR: 0.001000
=> Epoch 086 | Train: 0.7831 (Easy: 0.4659, Hard: 1.0955) | Val: 0.7140 (Easy: 0.4432, Hard: 1.0120) | LR: 0.001000
