=> Trial Start: ['dir_sim', 'recency', 'is_classroom']

=> Split: 0 | Features: ['dir_sim', 'recency', 'is_classroom']
=> Epoch 072 | Train: 0.7903 (Easy: 0.4646, Hard: 1.0998) | Val: 0.6948 (Easy: 0.4512, Hard: 0.9679) | LR: 0.001000
=> Epoch 073 | Train: 0.7913 (Easy: 0.4675, Hard: 1.0991) | Val: 0.6862 (Easy: 0.4410, Hard: 0.9668) | LR: 0.001000
=> Epoch 074 | Train: 0.7903 (Easy: 0.4731, Hard: 1.0933) | Val: 0.6958 (Easy: 0.4587, Hard: 0.9674) | LR: 0.001000
=> Epoch 075 | Train: 0.7966 (Easy: 0.4673, Hard: 1.1097) | Val: 0.6906 (Easy: 0.4497, Hard: 0.9604) | LR: 0.001000
=> Epoch 076 | Train: 0.7874 (Easy: 0.4682, Hard: 1.0964) | Val: 0.6864 (Easy: 0.4419, Hard: 0.9637) | LR: 0.001000
=> Epoch 077 | Train: 0.7961 (Easy: 0.4676, Hard: 1.1085) | Val: 0.6849 (Easy: 0.4388, Hard: 0.9639) | LR: 0.001000
=> Epoch 078 | Train: 0.8079 (Easy: 0.4775, Hard: 1.1189) | Val: 0.6846 (Easy: 0.4417, Hard: 0.9598) | LR: 0.001000
=> Epoch 079 | Train: 0.7873 (Easy: 0.4630, Hard: 1.0972) | Val: 0.6868 (Easy: 0.4369, Hard: 0.9693) | LR: 0.001000
=> Epoch 080 | Train: 0.7843 (Easy: 0.4674, Hard: 1.0912) | Val: 0.6847 (Easy: 0.4384, Hard: 0.9661) | LR: 0.001000
=> Epoch 081 | Train: 0.7833 (Easy: 0.4628, Hard: 1.0907) | Val: 0.6822 (Easy: 0.4353, Hard: 0.9611) | LR: 0.001000
=> Epoch 082 | Train: 0.7918 (Easy: 0.4574, Hard: 1.1080) | Val: 0.6813 (Easy: 0.4344, Hard: 0.9574) | LR: 0.001000
=> Epoch 083 | Train: 0.7775 (Easy: 0.4594, Hard: 1.0782) | Val: 0.6815 (Easy: 0.4440, Hard: 0.9554) | LR: 0.001000
=> Epoch 084 | Train: 0.7960 (Easy: 0.4638, Hard: 1.1207) | Val: 0.6831 (Easy: 0.4336, Hard: 0.9656) | LR: 0.001000
=> Epoch 085 | Train: 0.7735 (Easy: 0.4636, Hard: 1.0682) | Val: 0.6827 (Easy: 0.4307, Hard: 0.9670) | LR: 0.001000
=> Epoch 086 | Train: 0.7761 (Easy: 0.4527, Hard: 1.0904) | Val: 0.6786 (Easy: 0.4355, Hard: 0.9511) | LR: 0.001000
=> Epoch 087 | Train: 0.7798 (Easy: 0.4525, Hard: 1.0856) | Val: 0.6833 (Easy: 0.4388, Hard: 0.9619) | LR: 0.001000
=> Epoch 088 | Train: 0.7878 (Easy: 0.4661, Hard: 1.0994) | Val: 0.6802 (Easy: 0.4341, Hard: 0.9579) | LR: 0.001000
=> Epoch 089 | Train: 0.7855 (Easy: 0.4618, Hard: 1.0888) | Val: 0.6826 (Easy: 0.4407, Hard: 0.9556) | LR: 0.001000
=> Epoch 090 | Train: 0.7824 (Easy: 0.4690, Hard: 1.0808) | Val: 0.6864 (Easy: 0.4441, Hard: 0.9615) | LR: 0.001000
=> Epoch 091 | Train: 0.7736 (Easy: 0.4524, Hard: 1.0883) | Val: 0.6773 (Easy: 0.4327, Hard: 0.9502) | LR: 0.001000
=> Epoch 092 | Train: 0.7828 (Easy: 0.4608, Hard: 1.0982) | Val: 0.6803 (Easy: 0.4370, Hard: 0.9521) | LR: 0.001000
=> Epoch 093 | Train: 0.7724 (Easy: 0.4546, Hard: 1.0801) | Val: 0.6761 (Easy: 0.4312, Hard: 0.9519) | LR: 0.001000
=> Epoch 094 | Train: 0.7749 (Easy: 0.4566, Hard: 1.0769) | Val: 0.6794 (Easy: 0.4312, Hard: 0.9588) | LR: 0.001000
=> Epoch 095 | Train: 0.7895 (Easy: 0.4704, Hard: 1.0988) | Val: 0.6751 (Easy: 0.4263, Hard: 0.9545) | LR: 0.001000
=> Epoch 096 | Train: 0.7778 (Easy: 0.4610, Hard: 1.0794) | Val: 0.6764 (Easy: 0.4288, Hard: 0.9540) | LR: 0.001000
=> Epoch 097 | Train: 0.7710 (Easy: 0.4454, Hard: 1.0809) | Val: 0.6851 (Easy: 0.4423, Hard: 0.9598) | LR: 0.001000
=> Epoch 098 | Train: 0.7774 (Easy: 0.4630, Hard: 1.0766) | Val: 0.6852 (Easy: 0.4387, Hard: 0.9645) | LR: 0.001000
=> Epoch 099 | Train: 0.7647 (Easy: 0.4511, Hard: 1.0699) | Val: 0.6838 (Easy: 0.4441, Hard: 0.9548) | LR: 0.001000
=> Epoch 100 | Train: 0.7687 (Easy: 0.4560, Hard: 1.0694) | Val: 0.6878 (Easy: 0.4452, Hard: 0.9659) | LR: 0.001000
=> Epoch 101 | Train: 0.7820 (Easy: 0.4615, Hard: 1.0889) | Val: 0.6798 (Easy: 0.4352, Hard: 0.9579) | LR: 0.001000
=> Epoch 102 | Train: 0.7826 (Easy: 0.4547, Hard: 1.0998) | Val: 0.6724 (Easy: 0.4304, Hard: 0.9433) | LR: 0.001000
=> Epoch 103 | Train: 0.7773 (Easy: 0.4626, Hard: 1.0780) | Val: 0.6737 (Easy: 0.4336, Hard: 0.9450) | LR: 0.001000
=> Epoch 104 | Train: 0.7658 (Easy: 0.4500, Hard: 1.0670) | Val: 0.6820 (Easy: 0.4375, Hard: 0.9593) | LR: 0.001000
=> Epoch 105 | Train: 0.7624 (Easy: 0.4468, Hard: 1.0669) | Val: 0.6804 (Easy: 0.4385, Hard: 0.9515) | LR: 0.001000
=> Epoch 106 | Train: 0.7830 (Easy: 0.4560, Hard: 1.0946) | Val: 0.6735 (Easy: 0.4269, Hard: 0.9525) | LR: 0.001000
=> Epoch 107 | Train: 0.7699 (Easy: 0.4563, Hard: 1.0748) | Val: 0.6769 (Easy: 0.4340, Hard: 0.9487) | LR: 0.001000
=> Epoch 108 | Train: 0.7763 (Easy: 0.4461, Hard: 1.0946) | Val: 0.6826 (Easy: 0.4395, Hard: 0.9539) | LR: 0.001000
=> Epoch 109 | Train: 0.7694 (Easy: 0.4602, Hard: 1.0693) | Val: 0.6802 (Easy: 0.4377, Hard: 0.9530) | LR: 0.001000
=> Epoch 110 | Train: 0.7684 (Easy: 0.4497, Hard: 1.0711) | Val: 0.6745 (Easy: 0.4297, Hard: 0.9509) | LR: 0.001000
=> Epoch 111 | Train: 0.7674 (Easy: 0.4466, Hard: 1.0709) | Val: 0.6749 (Easy: 0.4338, Hard: 0.9462) | LR: 0.001000
=> Epoch 112 | Train: 0.7709 (Easy: 0.4508, Hard: 1.0790) | Val: 0.6717 (Easy: 0.4294, Hard: 0.9460) | LR: 0.001000
=> Epoch 113 | Train: 0.7696 (Easy: 0.4637, Hard: 1.0586) | Val: 0.6710 (Easy: 0.4278, Hard: 0.9431) | LR: 0.001000
=> Epoch 114 | Train: 0.7797 (Easy: 0.4551, Hard: 1.0934) | Val: 0.6824 (Easy: 0.4296, Hard: 0.9664) | LR: 0.001000
=> Epoch 115 | Train: 0.7631 (Easy: 0.4527, Hard: 1.0601) | Val: 0.6721 (Easy: 0.4241, Hard: 0.9466) | LR: 0.001000
=> Epoch 116 | Train: 0.7542 (Easy: 0.4411, Hard: 1.0575) | Val: 0.6726 (Easy: 0.4271, Hard: 0.9505) | LR: 0.001000
=> Epoch 117 | Train: 0.7702 (Easy: 0.4584, Hard: 1.0724) | Val: 0.6777 (Easy: 0.4361, Hard: 0.9500) | LR: 0.001000
=> Epoch 118 | Train: 0.7720 (Easy: 0.4446, Hard: 1.0882) | Val: 0.6739 (Easy: 0.4318, Hard: 0.9479) | LR: 0.001000
=> Epoch 119 | Train: 0.7601 (Easy: 0.4457, Hard: 1.0650) | Val: 0.6720 (Easy: 0.4281, Hard: 0.9482) | LR: 0.001000
=> Epoch 120 | Train: 0.7629 (Easy: 0.4543, Hard: 1.0584) | Val: 0.6759 (Easy: 0.4282, Hard: 0.9530) | LR: 0.001000
=> Epoch 121 | Train: 0.7550 (Easy: 0.4398, Hard: 1.0573) | Val: 0.6733 (Easy: 0.4314, Hard: 0.9489) | LR: 0.001000
=> Epoch 122 | Train: 0.7631 (Easy: 0.4448, Hard: 1.0680) | Val: 0.6736 (Easy: 0.4330, Hard: 0.9433) | LR: 0.001000
=> Epoch 123 | Train: 0.7636 (Easy: 0.4390, Hard: 1.0746) | Val: 0.6676 (Easy: 0.4204, Hard: 0.9437) | LR: 0.001000
=> Epoch 124 | Train: 0.7604 (Easy: 0.4455, Hard: 1.0626) | Val: 0.6749 (Easy: 0.4376, Hard: 0.9427) | LR: 0.001000
=> Epoch 125 | Train: 0.7641 (Easy: 0.4530, Hard: 1.0614) | Val: 0.6685 (Easy: 0.4261, Hard: 0.9421) | LR: 0.001000
=> Epoch 126 | Train: 0.7617 (Easy: 0.4540, Hard: 1.0515) | Val: 0.6681 (Easy: 0.4261, Hard: 0.9435) | LR: 0.001000
=> Epoch 127 | Train: 0.7551 (Easy: 0.4364, Hard: 1.0583) | Val: 0.6753 (Easy: 0.4285, Hard: 0.9623) | LR: 0.001000
=> Epoch 128 | Train: 0.7658 (Easy: 0.4513, Hard: 1.0624) | Val: 0.6755 (Easy: 0.4347, Hard: 0.9485) | LR: 0.001000
=> Epoch 129 | Train: 0.7643 (Easy: 0.4512, Hard: 1.0579) | Val: 0.6709 (Easy: 0.4266, Hard: 0.9462) | LR: 0.001000
=> Epoch 130 | Train: 0.7382 (Easy: 0.4381, Hard: 1.0220) | Val: 0.6643 (Easy: 0.4184, Hard: 0.9436) | LR: 0.001000
=> Epoch 131 | Train: 0.7588 (Easy: 0.4408, Hard: 1.0650) | Val: 0.6779 (Easy: 0.4393, Hard: 0.9584) | LR: 0.001000
=> Epoch 132 | Train: 0.7477 (Easy: 0.4287, Hard: 1.0527) | Val: 0.6668 (Easy: 0.4239, Hard: 0.9402) | LR: 0.001000
=> Epoch 133 | Train: 0.7640 (Easy: 0.4478, Hard: 1.0622) | Val: 0.6681 (Easy: 0.4242, Hard: 0.9401) | LR: 0.001000
=> Epoch 134 | Train: 0.7562 (Easy: 0.4424, Hard: 1.0568) | Val: 0.6660 (Easy: 0.4234, Hard: 0.9459) | LR: 0.001000
=> Epoch 135 | Train: 0.7526 (Easy: 0.4499, Hard: 1.0458) | Val: 0.6689 (Easy: 0.4221, Hard: 0.9522) | LR: 0.001000
=> Epoch 136 | Train: 0.7551 (Easy: 0.4532, Hard: 1.0387) | Val: 0.6663 (Easy: 0.4228, Hard: 0.9409) | LR: 0.001000
=> Epoch 137 | Train: 0.7534 (Easy: 0.4329, Hard: 1.0654) | Val: 0.6652 (Easy: 0.4167, Hard: 0.9476) | LR: 0.001000
=> Epoch 138 | Train: 0.7559 (Easy: 0.4401, Hard: 1.0559) | Val: 0.6703 (Easy: 0.4251, Hard: 0.9470) | LR: 0.001000
=> Epoch 139 | Train: 0.7469 (Easy: 0.4310, Hard: 1.0442) | Val: 0.6760 (Easy: 0.4368, Hard: 0.9455) | LR: 0.001000
=> Epoch 140 | Train: 0.7617 (Easy: 0.4550, Hard: 1.0485) | Val: 0.6705 (Easy: 0.4257, Hard: 0.9479) | LR: 0.001000
=> LR reduced: 0.001000 -> 0.000500
=> Epoch 141 | Train: 0.7476 (Easy: 0.4484, Hard: 1.0328) | Val: 0.6687 (Easy: 0.4194, Hard: 0.9456) | LR: 0.000500
=> Epoch 142 | Train: 0.7548 (Easy: 0.4390, Hard: 1.0534) | Val: 0.6664 (Easy: 0.4094, Hard: 0.9513) | LR: 0.000500
=> Epoch 143 | Train: 0.7494 (Easy: 0.4480, Hard: 1.0337) | Val: 0.6677 (Easy: 0.4154, Hard: 0.9482) | LR: 0.000500
=> Epoch 144 | Train: 0.7434 (Easy: 0.4324, Hard: 1.0343) | Val: 0.6684 (Easy: 0.4124, Hard: 0.9518) | LR: 0.000500
